tDate,Country,VaccinatedRate
2021-11-14,Australia,75.86
2021-11-14,Austria,67.71
2021-11-14,Belgium,75.44
2021-11-14,Canada,78.94
2021-11-14,Chile,86.95
2021-11-14,China,0.00
2021-11-14,Colombia,65.11
2021-11-14,Costa Rica,0.00
2021-11-14,Czechia,59.88
2021-11-14,Denmark,77.72
2021-11-14,Estonia,61.58
2021-11-14,Finland,76.73
2021-11-14,France,78.80
2021-11-14,Germany,69.46
2021-11-14,Greece,65.55
2021-11-14,Hungary,62.27
2021-11-14,Iceland,0.00
2021-11-14,Ireland,76.99
2021-11-14,Israel,71.20
2021-11-14,Italy,77.62
2021-11-14,Japan,78.73
2021-11-14,Latvia,66.14
2021-11-14,Lithuania,68.35
2021-11-14,Luxembourg,69.51
2021-11-14,Mexico,57.91
2021-11-14,Netherlands,76.70
2021-11-14,New Zealand,78.15
2021-11-14,Norway,77.23
2021-11-14,Poland,54.17
2021-11-14,Portugal,0.00
2021-11-14,Slovakia,46.71
2021-11-14,Slovenia,58.13
2021-11-14,South Korea,80.99
2021-11-14,Spain,81.64
2021-11-14,Sweden,0.00
2021-11-14,Switzerland,66.44
2021-11-14,Taiwan,74.83
2021-11-14,Turkey,65.64
2021-11-14,United Kingdom,74.16
2021-11-14,United States,68.53
