Date,Country,VaccinatedRate
2021-09-17,Australia,56.98
2021-09-17,Austria,62.41
2021-09-17,Belgium,73.31
2021-09-17,Canada,75.21
2021-09-17,Chile,76.40
2021-09-17,China,0.00
2021-09-17,Colombia,48.85
2021-09-17,Costa Rica,0.00
2021-09-17,Czechia,56.34
2021-09-17,Denmark,76.40
2021-09-17,Estonia,56.33
2021-09-17,Finland,73.80
2021-09-17,Germany,66.54
2021-09-17,Greece,61.22
2021-09-17,Iceland,81.88
2021-09-17,Ireland,75.22
2021-09-17,Israel,68.95
2021-09-17,Italy,73.13
2021-09-17,Japan,0.00
2021-09-17,Latvia,47.30
2021-09-17,Lithuania,63.83
2021-09-17,Luxembourg,65.31
2021-09-17,Mexico,47.51
2021-09-17,Netherlands,0.00
2021-09-17,New Zealand,62.76
2021-09-17,Norway,74.37
2021-09-17,Poland,51.92
2021-09-17,Portugal,0.00
2021-09-17,Slovakia,44.32
2021-09-17,Slovenia,52.01
2021-09-17,South Korea,69.65
2021-09-17,Spain,0.00
2021-09-17,Sweden,69.59
2021-09-17,Switzerland,60.85
2021-09-17,Taiwan,48.60
2021-09-17,Turkey,61.73
2021-09-17,United Kingdom,71.18
2021-09-17,United States,63.41
