tDate,Country,VaccinatedRate
2022-08-13,Australia,0.00
2022-08-13,Austria,76.10
2022-08-13,Belgium,79.55
2022-08-13,Chile,93.93
2022-08-13,China,0.00
2022-08-13,Czechia,65.00
2022-08-13,Denmark,82.95
2022-08-13,Estonia,65.29
2022-08-13,Finland,0.00
2022-08-13,France,83.35
2022-08-13,Germany,77.17
2022-08-13,Greece,76.41
2022-08-13,Hungary,0.00
2022-08-13,Ireland,82.17
2022-08-13,Israel,76.40
2022-08-13,Italy,84.19
2022-08-13,Japan,82.52
2022-08-13,Lithuania,72.64
2022-08-13,Luxembourg,75.86
2022-08-13,New Zealand,88.38
2022-08-13,Norway,79.48
2022-08-13,Poland,60.21
2022-08-13,South Korea,87.02
2022-08-13,Sweden,0.00
2022-08-13,Switzerland,69.91
2022-08-13,Taiwan,0.00
2022-08-13,Turkey,68.08
2022-08-13,United States,78.78
