Date,Country,VaccinatedRate
2021-10-10,Australia,68.42
2021-10-10,Austria,64.05
2021-10-10,Belgium,74.30
2021-10-10,Canada,77.17
2021-10-10,Chile,82.94
2021-10-10,China,0.00
2021-10-10,Colombia,54.39
2021-10-10,Costa Rica,0.00
2021-10-10,Czechia,57.00
2021-10-10,Denmark,76.69
2021-10-10,Estonia,57.76
2021-10-10,Finland,75.04
2021-10-10,France,77.54
2021-10-10,Germany,67.96
2021-10-10,Greece,62.65
2021-10-10,Hungary,61.34
2021-10-10,Iceland,0.00
2021-10-10,Ireland,76.00
2021-10-10,Israel,70.40
2021-10-10,Italy,75.89
2021-10-10,Japan,73.91
2021-10-10,Latvia,51.58
2021-10-10,Lithuania,65.67
2021-10-10,Luxembourg,67.23
2021-10-10,Mexico,50.92
2021-10-10,Netherlands,75.24
2021-10-10,New Zealand,70.97
2021-10-10,Norway,76.59
2021-10-10,Poland,0.00
2021-10-10,Portugal,0.00
2021-10-10,Slovakia,45.39
2021-10-10,Slovenia,56.47
2021-10-10,South Korea,77.11
2021-10-10,Spain,80.90
2021-10-10,Sweden,70.77
2021-10-10,Switzerland,64.38
2021-10-10,Taiwan,0.00
2021-10-10,Turkey,64.08
2021-10-10,United Kingdom,72.11
2021-10-10,United States,65.35
