Date,Country,VaccinatedRate
2021-08-11,Australia,36.30
2021-08-11,Austria,59.44
2021-08-11,Belgium,70.98
2021-08-11,Canada,71.68
2021-08-11,Chile,73.94
2021-08-11,China,0.00
2021-08-11,Colombia,39.52
2021-08-11,Czechia,54.02
2021-08-11,Denmark,74.20
2021-08-11,Estonia,51.25
2021-08-11,Finland,68.46
2021-08-11,France,69.62
2021-08-11,Germany,62.31
2021-08-11,Greece,56.07
2021-08-11,Hungary,58.79
2021-08-11,Ireland,69.40
2021-08-11,Israel,66.31
2021-08-11,Italy,66.67
2021-08-11,Japan,48.54
2021-08-11,Latvia,42.98
2021-08-11,Lithuania,56.73
2021-08-11,Luxembourg,62.69
2021-08-11,Mexico,39.85
2021-08-11,Netherlands,0.00
2021-08-11,New Zealand,0.00
2021-08-11,Norway,68.49
2021-08-11,Poland,49.51
2021-08-11,Portugal,73.21
2021-08-11,Slovakia,42.25
2021-08-11,Slovenia,45.57
2021-08-11,South Korea,42.10
2021-08-11,Spain,73.16
2021-08-11,Sweden,64.81
2021-08-11,Switzerland,54.57
2021-08-11,Taiwan,37.17
2021-08-11,Turkey,50.25
2021-08-11,United Kingdom,69.16
2021-08-11,United States,58.90
