Date,Country,VaccinatedRate
2021-08-18,Australia,39.80
2021-08-18,Austria,59.90
2021-08-18,Belgium,71.60
2021-08-18,Canada,72.23
2021-08-18,Chile,74.38
2021-08-18,China,0.00
2021-08-18,Colombia,41.31
2021-08-18,Czechia,54.56
2021-08-18,Denmark,74.89
2021-08-18,Estonia,52.87
2021-08-18,Finland,69.86
2021-08-18,France,71.65
2021-08-18,Germany,63.13
2021-08-18,Greece,56.63
2021-08-18,Hungary,59.09
2021-08-18,Ireland,71.43
2021-08-18,Israel,66.80
2021-08-18,Italy,68.11
2021-08-18,Japan,51.31
2021-08-18,Latvia,44.10
2021-08-18,Lithuania,58.98
2021-08-18,Luxembourg,63.13
2021-08-18,Mexico,42.72
2021-08-18,Netherlands,0.00
2021-08-18,Norway,69.31
2021-08-18,Poland,50.12
2021-08-18,Portugal,77.83
2021-08-18,Slovakia,42.78
2021-08-18,Slovenia,46.24
2021-08-18,South Korea,46.92
2021-08-18,Spain,75.45
2021-08-18,Sweden,64.85
2021-08-18,Switzerland,55.33
2021-08-18,Taiwan,38.82
2021-08-18,Turkey,52.94
2021-08-18,United Kingdom,69.58
2021-08-18,United States,59.87
