tDate,Country,VaccinatedRate
2021-01-20,Austria,1.92
2021-01-20,Belgium,1.53
2021-01-20,Canada,1.73
2021-01-20,Chile,0.28
2021-01-20,China,0.00
2021-01-20,Costa Rica,0.00
2021-01-20,Czechia,1.50
2021-01-20,Denmark,2.96
2021-01-20,Estonia,1.53
2021-01-20,Finland,0.00
2021-01-20,France,1.22
2021-01-20,Germany,1.68
2021-01-20,Greece,1.04
2021-01-20,Hungary,1.40
2021-01-20,Iceland,1.67
2021-01-20,Ireland,0.00
2021-01-20,Israel,27.61
2021-01-20,Italy,2.18
2021-01-20,Latvia,0.88
2021-01-20,Lithuania,2.16
2021-01-20,Luxembourg,0.98
2021-01-20,Mexico,0.38
2021-01-20,Netherlands,0.00
2021-01-20,Norway,1.25
2021-01-20,Poland,1.50
2021-01-20,Portugal,1.66
2021-01-20,Slovakia,1.57
2021-01-20,Slovenia,2.45
2021-01-20,Spain,2.16
2021-01-20,Sweden,0.00
2021-01-20,Switzerland,1.51
2021-01-20,Turkey,0.00
2021-01-20,United Kingdom,7.29
2021-01-20,United States,4.29
