Date,Country,VaccinatedRate
2021-08-06,Australia,34.50
2021-08-06,Austria,59.12
2021-08-06,Belgium,70.33
2021-08-06,Canada,71.34
2021-08-06,Chile,73.16
2021-08-06,China,0.00
2021-08-06,Colombia,0.00
2021-08-06,Costa Rica,0.00
2021-08-06,Czechia,53.52
2021-08-06,Denmark,73.54
2021-08-06,Estonia,50.01
2021-08-06,Finland,67.32
2021-08-06,France,67.88
2021-08-06,Germany,61.87
2021-08-06,Greece,55.74
2021-08-06,Iceland,80.14
2021-08-06,Ireland,0.00
2021-08-06,Israel,66.05
2021-08-06,Italy,65.30
2021-08-06,Japan,0.00
2021-08-06,Latvia,42.32
2021-08-06,Lithuania,55.14
2021-08-06,Luxembourg,62.36
2021-08-06,Mexico,38.82
2021-08-06,Netherlands,0.00
2021-08-06,New Zealand,27.65
2021-08-06,Norway,67.89
2021-08-06,Poland,0.00
2021-08-06,Portugal,71.04
2021-08-06,Slovakia,41.90
2021-08-06,Slovenia,45.14
2021-08-06,South Korea,40.12
2021-08-06,Spain,0.00
2021-08-06,Sweden,64.02
2021-08-06,Switzerland,54.18
2021-08-06,Taiwan,36.31
2021-08-06,Turkey,48.79
2021-08-06,United Kingdom,68.91
2021-08-06,United States,58.20
