Date,Country,VaccinatedRate
2022-07-06,Australia,86.70
2022-07-06,Canada,86.12
2022-07-06,Chile,93.73
2022-07-06,China,0.00
2022-07-06,Czechia,64.95
2022-07-06,Finland,81.42
2022-07-06,France,83.26
2022-07-06,Germany,77.13
2022-07-06,Greece,76.37
2022-07-06,Israel,76.37
2022-07-06,Italy,84.16
2022-07-06,Japan,82.32
2022-07-06,Lithuania,0.00
2022-07-06,New Zealand,0.00
2022-07-06,Norway,79.45
2022-07-06,Poland,60.16
2022-07-06,Slovenia,0.00
2022-07-06,South Korea,86.97
2022-07-06,Taiwan,88.83
2022-07-06,Turkey,68.04
