Date,Country,VaccinatedRate
2021-03-10,Australia,0.41
2021-03-10,Austria,7.41
2021-03-10,Belgium,6.31
2021-03-10,Canada,5.35
2021-03-10,Chile,23.28
2021-03-10,China,0.00
2021-03-10,Colombia,0.00
2021-03-10,Costa Rica,0.00
2021-03-10,Czechia,6.46
2021-03-10,Denmark,9.69
2021-03-10,Estonia,8.58
2021-03-10,Finland,9.29
2021-03-10,France,6.91
2021-03-10,Germany,6.99
2021-03-10,Greece,7.78
2021-03-10,Hungary,11.93
2021-03-10,Iceland,0.00
2021-03-10,Ireland,8.22
2021-03-10,Israel,57.13
2021-03-10,Italy,7.18
2021-03-10,Japan,0.12
2021-03-10,Latvia,4.37
2021-03-10,Lithuania,9.06
2021-03-10,Luxembourg,5.78
2021-03-10,Mexico,2.21
2021-03-10,Netherlands,0.00
2021-03-10,New Zealand,0.40
2021-03-10,Norway,8.12
2021-03-10,Poland,0.00
2021-03-10,Portugal,7.85
2021-03-10,Slovakia,6.93
2021-03-10,Slovenia,7.55
2021-03-10,South Korea,0.98
2021-03-10,Spain,7.85
2021-03-10,Sweden,0.00
2021-03-10,Switzerland,7.36
2021-03-10,Turkey,9.11
2021-03-10,United Kingdom,33.80
2021-03-10,United States,18.76
