Date,Country,VaccinatedRate
2021-03-23,Australia,0.00
2021-03-23,Austria,11.72
2021-03-23,Belgium,9.66
2021-03-23,Canada,9.42
2021-03-23,Chile,30.76
2021-03-23,China,0.00
2021-03-23,Colombia,2.41
2021-03-23,Costa Rica,0.00
2021-03-23,Czechia,9.84
2021-03-23,Denmark,10.97
2021-03-23,Estonia,12.97
2021-03-23,Finland,13.39
2021-03-23,France,10.43
2021-03-23,Germany,9.62
2021-03-23,Greece,9.82
2021-03-23,Hungary,17.61
2021-03-23,Iceland,11.06
2021-03-23,Ireland,10.35
2021-03-23,Israel,59.12
2021-03-23,Italy,9.57
2021-03-23,Japan,0.53
2021-03-23,Latvia,5.98
2021-03-23,Lithuania,10.84
2021-03-23,Luxembourg,9.34
2021-03-23,Mexico,0.00
2021-03-23,Netherlands,0.00
2021-03-23,New Zealand,0.74
2021-03-23,Norway,9.74
2021-03-23,Poland,8.96
2021-03-23,Portugal,9.51
2021-03-23,Slovakia,10.67
2021-03-23,Slovenia,9.33
2021-03-23,South Korea,1.36
2021-03-23,Spain,9.10
2021-03-23,Sweden,0.00
2021-03-23,Switzerland,9.05
2021-03-23,Taiwan,0.01
2021-03-23,Turkey,9.51
2021-03-23,United Kingdom,42.01
2021-03-23,United States,25.21
