Date,Country,VaccinatedRate
2022-04-26,Australia,86.36
2022-04-26,Chile,93.22
2022-04-26,China,0.00
2022-04-26,Czechia,64.87
2022-04-26,Denmark,83.22
2022-04-26,Estonia,64.93
2022-04-26,Finland,0.00
2022-04-26,France,82.62
2022-04-26,Germany,75.98
2022-04-26,Greece,76.27
2022-04-26,Hungary,66.50
2022-04-26,Israel,76.30
2022-04-26,Italy,84.08
2022-04-26,Japan,81.82
2022-04-26,Latvia,72.03
2022-04-26,Lithuania,72.51
2022-04-26,New Zealand,88.21
2022-04-26,Norway,79.30
2022-04-26,Poland,59.91
2022-04-26,Slovenia,60.86
2022-04-26,South Korea,86.89
2022-04-26,Taiwan,82.55
2022-04-26,Turkey,67.98
2022-04-26,United Kingdom,77.95
2022-04-26,United States,77.32
