Date,Country,VaccinatedRate
2021-09-04,Australia,50.04
2021-09-04,Austria,61.41
2021-09-04,Belgium,72.72
2021-09-04,Canada,73.78
2021-09-04,Chile,75.13
2021-09-04,China,0.00
2021-09-04,Colombia,47.03
2021-09-04,Costa Rica,0.00
2021-09-04,Czechia,55.69
2021-09-04,Denmark,76.01
2021-09-04,Estonia,55.32
2021-09-04,Finland,72.93
2021-09-04,France,74.89
2021-09-04,Germany,65.27
2021-09-04,Greece,59.22
2021-09-04,Hungary,0.00
2021-09-04,Iceland,0.00
2021-09-04,Ireland,74.42
2021-09-04,Israel,68.40
2021-09-04,Italy,71.44
2021-09-04,Japan,0.00
2021-09-04,Latvia,46.33
2021-09-04,Lithuania,62.34
2021-09-04,Luxembourg,0.00
2021-09-04,Mexico,45.22
2021-09-04,Netherlands,0.00
2021-09-04,New Zealand,52.27
2021-09-04,Norway,71.59
2021-09-04,Poland,51.28
2021-09-04,Portugal,0.00
2021-09-04,Slovakia,43.79
2021-09-04,Slovenia,48.23
2021-09-04,South Korea,57.89
2021-09-04,Spain,0.00
2021-09-04,Sweden,0.00
2021-09-04,Switzerland,57.91
2021-09-04,Taiwan,0.00
2021-09-04,Turkey,58.06
2021-09-04,United Kingdom,70.74
2021-09-04,United States,62.15
