Date,Country,VaccinatedRate
2021-08-10,Australia,35.81
2021-08-10,Austria,59.36
2021-08-10,Belgium,70.84
2021-08-10,Canada,71.61
2021-08-10,Chile,73.92
2021-08-10,China,0.00
2021-08-10,Colombia,39.17
2021-08-10,Czechia,53.91
2021-08-10,Denmark,74.09
2021-08-10,Estonia,50.95
2021-08-10,Finland,68.08
2021-08-10,France,69.18
2021-08-10,Germany,62.17
2021-08-10,Greece,55.99
2021-08-10,Hungary,58.73
2021-08-10,Ireland,69.18
2021-08-10,Israel,66.24
2021-08-10,Italy,66.38
2021-08-10,Japan,48.02
2021-08-10,Latvia,42.74
2021-08-10,Lithuania,56.32
2021-08-10,Luxembourg,62.63
2021-08-10,Mexico,39.46
2021-08-10,Netherlands,0.00
2021-08-10,New Zealand,29.73
2021-08-10,Norway,68.09
2021-08-10,Poland,49.41
2021-08-10,Portugal,72.59
2021-08-10,Slovakia,42.16
2021-08-10,Slovenia,45.41
2021-08-10,South Korea,41.76
2021-08-10,Spain,72.46
2021-08-10,Sweden,64.58
2021-08-10,Switzerland,54.45
2021-08-10,Taiwan,36.58
2021-08-10,Turkey,49.78
2021-08-10,United Kingdom,69.10
2021-08-10,United States,58.77
