tDate,Country,VaccinatedRate
2021-06-10,Australia,18.73
2021-06-10,Austria,45.90
2021-06-10,Belgium,47.42
2021-06-10,Canada,63.07
2021-06-10,Chile,60.25
2021-06-10,China,43.07
2021-06-10,Colombia,0.00
2021-06-10,Costa Rica,0.00
2021-06-10,Czechia,41.50
2021-06-10,Denmark,44.82
2021-06-10,Estonia,38.96
2021-06-10,Finland,49.05
2021-06-10,France,45.60
2021-06-10,Germany,47.30
2021-06-10,Greece,39.83
2021-06-10,Hungary,55.27
2021-06-10,Iceland,0.00
2021-06-10,Ireland,0.00
2021-06-10,Israel,62.30
2021-06-10,Italy,46.73
2021-06-10,Japan,15.62
2021-06-10,Latvia,31.93
2021-06-10,Lithuania,42.92
2021-06-10,Luxembourg,0.00
2021-06-10,Mexico,19.55
2021-06-10,Netherlands,0.00
2021-06-10,New Zealand,10.72
2021-06-10,Norway,35.73
2021-06-10,Poland,40.13
2021-06-10,Portugal,42.84
2021-06-10,Slovakia,34.33
2021-06-10,Slovenia,36.53
2021-06-10,South Korea,20.47
2021-06-10,Spain,44.85
2021-06-10,Sweden,0.00
2021-06-10,Switzerland,41.42
2021-06-10,Taiwan,3.28
2021-06-10,Turkey,22.30
2021-06-10,United Kingdom,60.24
2021-06-10,United States,51.79
