tDate,Country,VaccinatedRate
2022-04-30,Australia,86.39
2022-04-30,Belgium,79.42
2022-04-30,Canada,87.26
2022-04-30,Chile,93.25
2022-04-30,China,0.00
2022-04-30,Costa Rica,0.00
2022-04-30,Czechia,64.88
2022-04-30,Denmark,83.19
2022-04-30,Estonia,64.95
2022-04-30,Finland,0.00
2022-04-30,France,83.05
2022-04-30,Germany,76.88
2022-04-30,Greece,76.28
2022-04-30,Hungary,0.00
2022-04-30,Ireland,81.88
2022-04-30,Israel,76.30
2022-04-30,Italy,84.09
2022-04-30,Japan,0.00
2022-04-30,Latvia,72.04
2022-04-30,Lithuania,72.52
2022-04-30,Luxembourg,75.72
2022-04-30,Mexico,0.00
2022-04-30,New Zealand,88.22
2022-04-30,Norway,79.31
2022-04-30,Poland,59.98
2022-04-30,Slovakia,0.00
2022-04-30,Slovenia,60.87
2022-04-30,South Korea,86.90
2022-04-30,Switzerland,69.78
2022-04-30,Taiwan,0.00
2022-04-30,Turkey,67.99
2022-04-30,United States,77.46
