tDate,Country,VaccinatedRate
2022-03-12,Australia,85.81
2022-03-12,Austria,0.00
2022-03-12,Belgium,79.32
2022-03-12,Canada,0.00
2022-03-12,China,0.00
2022-03-12,Colombia,0.00
2022-03-12,Costa Rica,0.00
2022-03-12,Czechia,64.78
2022-03-12,Denmark,83.30
2022-03-12,Estonia,64.77
2022-03-12,Finland,0.00
2022-03-12,France,82.54
2022-03-12,Germany,75.78
2022-03-12,Greece,75.98
2022-03-12,Hungary,0.00
2022-03-12,Iceland,0.00
2022-03-12,Ireland,81.53
2022-03-12,Israel,76.23
2022-03-12,Italy,83.95
2022-03-12,Japan,0.00
2022-03-12,Latvia,71.94
2022-03-12,Lithuania,72.39
2022-03-12,Mexico,65.57
2022-03-12,Netherlands,78.34
2022-03-12,New Zealand,87.99
2022-03-12,Norway,79.22
2022-03-12,Poland,0.00
2022-03-12,Slovakia,0.00
2022-03-12,Slovenia,60.82
2022-03-12,South Korea,86.66
2022-03-12,Sweden,0.00
2022-03-12,Switzerland,69.75
2022-03-12,Taiwan,0.00
2022-03-12,Turkey,67.89
2022-03-12,United Kingdom,77.27
2022-03-12,United States,76.51
