Date,Country,VaccinatedRate
2021-06-17,Australia,21.01
2021-06-17,Austria,48.77
2021-06-17,Belgium,52.70
2021-06-17,Canada,65.36
2021-06-17,Chile,62.80
2021-06-17,China,0.00
2021-06-17,Colombia,18.99
2021-06-17,Costa Rica,0.00
2021-06-17,Czechia,44.07
2021-06-17,Denmark,50.53
2021-06-17,Estonia,40.45
2021-06-17,Finland,52.96
2021-06-17,France,48.55
2021-06-17,Germany,50.13
2021-06-17,Greece,42.25
2021-06-17,Hungary,55.94
2021-06-17,Iceland,69.55
2021-06-17,Ireland,0.00
2021-06-17,Israel,62.48
2021-06-17,Italy,51.05
2021-06-17,Japan,19.32
2021-06-17,Latvia,33.58
2021-06-17,Lithuania,44.67
2021-06-17,Luxembourg,43.81
2021-06-17,Mexico,20.92
2021-06-17,Netherlands,0.00
2021-06-17,New Zealand,12.25
2021-06-17,Norway,39.40
2021-06-17,Poland,42.17
2021-06-17,Portugal,46.54
2021-06-17,Slovakia,35.54
2021-06-17,Slovenia,38.27
2021-06-17,South Korea,27.56
2021-06-17,Spain,48.53
2021-06-17,Sweden,0.00
2021-06-17,Switzerland,45.18
2021-06-17,Taiwan,0.00
2021-06-17,Turkey,29.66
2021-06-17,United Kingdom,62.25
2021-06-17,United States,52.83
