Date,Country,VaccinatedRate
2021-08-17,Australia,39.24
2021-08-17,Austria,59.82
2021-08-17,Belgium,71.50
2021-08-17,Canada,72.15
2021-08-17,Chile,74.36
2021-08-17,China,0.00
2021-08-17,Colombia,40.92
2021-08-17,Czechia,54.47
2021-08-17,Denmark,74.80
2021-08-17,Estonia,52.63
2021-08-17,Finland,69.56
2021-08-17,France,71.32
2021-08-17,Germany,62.97
2021-08-17,Greece,56.52
2021-08-17,Hungary,59.04
2021-08-17,Ireland,71.12
2021-08-17,Israel,66.71
2021-08-17,Italy,67.87
2021-08-17,Japan,50.77
2021-08-17,Latvia,43.86
2021-08-17,Lithuania,58.53
2021-08-17,Luxembourg,63.03
2021-08-17,Mexico,42.46
2021-08-17,Netherlands,0.00
2021-08-17,New Zealand,34.06
2021-08-17,Norway,69.10
2021-08-17,Poland,49.98
2021-08-17,Portugal,77.29
2021-08-17,Slovakia,42.70
2021-08-17,Slovenia,46.06
2021-08-17,South Korea,45.91
2021-08-17,Spain,75.03
2021-08-17,Sweden,64.70
2021-08-17,Switzerland,55.18
2021-08-17,Taiwan,38.76
2021-08-17,Turkey,52.35
2021-08-17,United Kingdom,69.51
2021-08-17,United States,59.75
