tDate,Country,VaccinatedRate
2022-02-10,Australia,84.85
2022-02-10,Austria,0.00
2022-02-10,Belgium,78.95
2022-02-10,Canada,85.25
2022-02-10,Chile,92.08
2022-02-10,China,0.00
2022-02-10,Colombia,79.65
2022-02-10,Costa Rica,0.00
2022-02-10,Czechia,64.67
2022-02-10,Denmark,83.34
2022-02-10,Estonia,64.58
2022-02-10,Finland,80.38
2022-02-10,France,82.37
2022-02-10,Germany,75.40
2022-02-10,Greece,75.32
2022-02-10,Hungary,66.21
2022-02-10,Iceland,0.00
2022-02-10,Ireland,80.98
2022-02-10,Israel,76.17
2022-02-10,Italy,83.60
2022-02-10,Japan,0.00
2022-02-10,Latvia,71.79
2022-02-10,Lithuania,72.29
2022-02-10,Luxembourg,75.22
2022-02-10,Mexico,64.46
2022-02-10,Netherlands,0.00
2022-02-10,New Zealand,0.00
2022-02-10,Norway,79.12
2022-02-10,Poland,59.34
2022-02-10,Portugal,0.00
2022-02-10,Slovakia,0.00
2022-02-10,Slovenia,60.74
2022-02-10,South Korea,86.30
2022-02-10,Spain,87.68
2022-02-10,Sweden,76.67
2022-02-10,Switzerland,69.67
2022-02-10,Taiwan,80.44
2022-02-10,Turkey,67.66
2022-02-10,United Kingdom,76.94
2022-02-10,United States,75.71
