Date,Country,VaccinatedRate
2021-04-25,Australia,0.00
2021-04-25,Austria,23.25
2021-04-25,Belgium,23.80
2021-04-25,Canada,28.97
2021-04-25,Chile,41.43
2021-04-25,China,0.00
2021-04-25,Colombia,5.93
2021-04-25,Costa Rica,0.00
2021-04-25,Czechia,17.72
2021-04-25,Denmark,20.89
2021-04-25,Estonia,23.50
2021-04-25,Finland,27.57
2021-04-25,France,21.98
2021-04-25,Germany,23.38
2021-04-25,Greece,0.00
2021-04-25,Hungary,37.41
2021-04-25,Iceland,0.00
2021-04-25,Ireland,20.03
2021-04-25,Israel,61.22
2021-04-25,Italy,21.16
2021-04-25,Japan,1.72
2021-04-25,Latvia,14.04
2021-04-25,Lithuania,23.58
2021-04-25,Luxembourg,20.57
2021-04-25,Mexico,9.25
2021-04-25,Netherlands,22.88
2021-04-25,New Zealand,3.51
2021-04-25,Norway,22.70
2021-04-25,Poland,20.55
2021-04-25,Portugal,21.76
2021-04-25,Slovakia,19.03
2021-04-25,Slovenia,19.84
2021-04-25,South Korea,4.38
2021-04-25,Spain,23.10
2021-04-25,Sweden,23.63
2021-04-25,Switzerland,17.86
2021-04-25,Taiwan,0.00
2021-04-25,Turkey,15.49
2021-04-25,United Kingdom,49.49
2021-04-25,United States,42.05
