tDate,Country,VaccinatedRate
2022-01-25,Australia,83.27
2022-01-25,Austria,74.49
2022-01-25,Belgium,78.23
2022-01-25,Canada,84.74
2022-01-25,Chile,91.48
2022-01-25,China,0.00
2022-01-25,Colombia,77.93
2022-01-25,Costa Rica,78.39
2022-01-25,Czechia,64.48
2022-01-25,Denmark,83.32
2022-01-25,Estonia,64.37
2022-01-25,Finland,77.34
2022-01-25,France,82.05
2022-01-25,Germany,74.91
2022-01-25,Greece,74.37
2022-01-25,Hungary,65.87
2022-01-25,Iceland,89.44
2022-01-25,Ireland,80.51
2022-01-25,Israel,76.09
2022-01-25,Italy,82.75
2022-01-25,Japan,80.41
2022-01-25,Latvia,71.48
2022-01-25,Lithuania,72.12
2022-01-25,Mexico,63.99
2022-01-25,Netherlands,0.00
2022-01-25,New Zealand,82.27
2022-01-25,Norway,78.86
2022-01-25,Poland,58.81
2022-01-25,Portugal,94.15
2022-01-25,Slovakia,0.00
2022-01-25,Slovenia,60.61
2022-01-25,South Korea,86.07
2022-01-25,Spain,87.39
2022-01-25,Sweden,77.02
2022-01-25,Switzerland,69.54
2022-01-25,Taiwan,79.73
2022-01-25,Turkey,67.45
2022-01-25,United Kingdom,76.63
2022-01-25,United States,74.92
