Date,Country,VaccinatedRate
2022-05-17,Australia,86.48
2022-05-17,Austria,75.49
2022-05-17,Chile,93.36
2022-05-17,China,0.00
2022-05-17,Costa Rica,86.23
2022-05-17,Denmark,83.18
2022-05-17,Estonia,65.01
2022-05-17,France,83.11
2022-05-17,Germany,76.91
2022-05-17,Greece,76.31
2022-05-17,Hungary,66.52
2022-05-17,Israel,76.32
2022-05-17,Italy,84.11
2022-05-17,Japan,82.05
2022-05-17,Latvia,72.06
2022-05-17,Lithuania,72.54
2022-05-17,New Zealand,88.25
2022-05-17,Poland,60.04
2022-05-17,Slovenia,60.88
2022-05-17,South Korea,86.92
2022-05-17,Taiwan,84.05
2022-05-17,Turkey,68.00
2022-05-17,United States,77.50
