tDate,Country,VaccinatedRate
2022-01-02,Australia,79.34
2022-01-02,Austria,73.20
2022-01-02,Belgium,76.62
2022-01-02,Canada,83.41
2022-01-02,Chile,89.95
2022-01-02,China,0.00
2022-01-02,Colombia,74.83
2022-01-02,Costa Rica,0.00
2022-01-02,Czechia,63.62
2022-01-02,Denmark,82.70
2022-01-02,Estonia,63.59
2022-01-02,Finland,0.00
2022-01-02,France,80.90
2022-01-02,Germany,73.59
2022-01-02,Greece,72.14
2022-01-02,Hungary,65.04
2022-01-02,Iceland,0.00
2022-01-02,Ireland,78.17
2022-01-02,Israel,74.84
2022-01-02,Italy,80.20
2022-01-02,Japan,0.00
2022-01-02,Latvia,70.38
2022-01-02,Lithuania,71.29
2022-01-02,Luxembourg,73.21
2022-01-02,New Zealand,81.78
2022-01-02,Norway,78.39
2022-01-02,Poland,57.35
2022-01-02,Portugal,0.00
2022-01-02,Slovakia,49.86
2022-01-02,Slovenia,60.15
2022-01-02,South Korea,85.30
2022-01-02,Spain,85.16
2022-01-02,Sweden,0.00
2022-01-02,Switzerland,68.55
2022-01-02,Taiwan,78.46
2022-01-02,Turkey,66.95
2022-01-02,United Kingdom,75.95
2022-01-02,United States,73.63
