Date,Country,VaccinatedRate
2021-05-13,Australia,0.00
2021-05-13,Austria,32.18
2021-05-13,Belgium,33.29
2021-05-13,Canada,41.93
2021-05-13,Chile,46.87
2021-05-13,China,0.00
2021-05-13,Colombia,8.49
2021-05-13,Costa Rica,0.00
2021-05-13,Czechia,27.54
2021-05-13,Denmark,27.54
2021-05-13,Estonia,29.49
2021-05-13,Finland,36.62
2021-05-13,France,30.03
2021-05-13,Germany,35.71
2021-05-13,Greece,25.72
2021-05-13,Hungary,46.54
2021-05-13,Iceland,0.00
2021-05-13,Ireland,0.00
2021-05-13,Israel,61.79
2021-05-13,Italy,30.31
2021-05-13,Japan,3.95
2021-05-13,Latvia,22.19
2021-05-13,Lithuania,31.64
2021-05-13,Luxembourg,30.20
2021-05-13,Mexico,11.51
2021-05-13,Netherlands,0.00
2021-05-13,New Zealand,6.00
2021-05-13,Norway,29.02
2021-05-13,Poland,29.40
2021-05-13,Portugal,30.87
2021-05-13,Slovakia,24.64
2021-05-13,Slovenia,25.76
2021-05-13,South Korea,7.19
2021-05-13,Spain,31.90
2021-05-13,Sweden,0.00
2021-05-13,Switzerland,26.91
2021-05-13,Taiwan,0.64
2021-05-13,Turkey,17.32
2021-05-13,United Kingdom,52.95
2021-05-13,United States,46.45
