tDate,Country,VaccinatedRate
2021-11-25,Australia,77.25
2021-11-25,Austria,69.56
2021-11-25,Belgium,75.87
2021-11-25,Canada,79.34
2021-11-25,Chile,87.63
2021-11-25,China,0.00
2021-11-25,Colombia,0.00
2021-11-25,Costa Rica,0.00
2021-11-25,Czechia,61.51
2021-11-25,Denmark,78.32
2021-11-25,Estonia,62.27
2021-11-25,Finland,77.17
2021-11-25,France,79.27
2021-11-25,Germany,70.35
2021-11-25,Greece,67.28
2021-11-25,Hungary,63.19
2021-11-25,Iceland,83.09
2021-11-25,Ireland,77.33
2021-11-25,Israel,71.64
2021-11-25,Italy,78.01
2021-11-25,Japan,79.06
2021-11-25,Latvia,67.83
2021-11-25,Lithuania,69.21
2021-11-25,Luxembourg,71.54
2021-11-25,Mexico,58.47
2021-11-25,Netherlands,0.00
2021-11-25,New Zealand,0.00
2021-11-25,Norway,77.53
2021-11-25,Poland,54.86
2021-11-25,Portugal,0.00
2021-11-25,Slovakia,47.99
2021-11-25,Slovenia,59.04
2021-11-25,South Korea,81.87
2021-11-25,Spain,81.91
2021-11-25,Sweden,71.90
2021-11-25,Switzerland,66.92
2021-11-25,Taiwan,76.03
2021-11-25,Turkey,66.02
2021-11-25,United Kingdom,74.59
2021-11-25,United States,69.88
