tDate,Country,VaccinatedRate
2021-06-26,Australia,0.00
2021-06-26,Austria,51.84
2021-06-26,Belgium,59.98
2021-06-26,Canada,66.94
2021-06-26,Chile,65.42
2021-06-26,China,0.00
2021-06-26,Colombia,21.61
2021-06-26,Costa Rica,0.00
2021-06-26,Czechia,46.42
2021-06-26,Denmark,55.59
2021-06-26,Estonia,41.65
2021-06-26,Finland,58.03
2021-06-26,France,51.40
2021-06-26,Germany,53.57
2021-06-26,Greece,45.46
2021-06-26,Hungary,0.00
2021-06-26,Iceland,0.00
2021-06-26,Ireland,0.00
2021-06-26,Israel,63.02
2021-06-26,Italy,55.26
2021-06-26,Japan,24.16
2021-06-26,Latvia,34.60
2021-06-26,Lithuania,45.65
2021-06-26,Luxembourg,0.00
2021-06-26,Mexico,23.04
2021-06-26,Netherlands,0.00
2021-06-26,New Zealand,14.03
2021-06-26,Norway,45.27
2021-06-26,Poland,44.05
2021-06-26,Portugal,51.14
2021-06-26,Slovakia,36.78
2021-06-26,Slovenia,39.26
2021-06-26,South Korea,29.52
2021-06-26,Spain,0.00
2021-06-26,Sweden,0.00
2021-06-26,Switzerland,48.81
2021-06-26,Taiwan,0.00
2021-06-26,Turkey,37.90
2021-06-26,United Kingdom,64.97
2021-06-26,United States,53.73
