Date,Country,VaccinatedRate
2021-05-28,Australia,13.73
2021-05-28,Austria,39.95
2021-05-28,Belgium,39.63
2021-05-28,Canada,54.99
2021-05-28,Chile,54.77
2021-05-28,China,0.00
2021-05-28,Colombia,0.00
2021-05-28,Costa Rica,0.00
2021-05-28,Czechia,35.43
2021-05-28,Denmark,35.61
2021-05-28,Estonia,34.94
2021-05-28,Finland,43.92
2021-05-28,France,38.82
2021-05-28,Germany,42.34
2021-05-28,Greece,34.06
2021-05-28,Hungary,53.15
2021-05-28,Iceland,49.91
2021-05-28,Ireland,0.00
2021-05-28,Israel,62.00
2021-05-28,Italy,37.81
2021-05-28,Japan,8.77
2021-05-28,Latvia,28.40
2021-05-28,Lithuania,37.49
2021-05-28,Luxembourg,35.53
2021-05-28,Mexico,15.91
2021-05-28,Netherlands,0.00
2021-05-28,New Zealand,8.32
2021-05-28,Norway,30.36
2021-05-28,Poland,35.59
2021-05-28,Portugal,37.26
2021-05-28,Slovakia,31.01
2021-05-28,Slovenia,31.77
2021-05-28,South Korea,10.11
2021-05-28,Spain,0.00
2021-05-28,Sweden,0.00
2021-05-28,Switzerland,34.41
2021-05-28,Taiwan,0.00
2021-05-28,Turkey,19.35
2021-05-28,United Kingdom,57.29
2021-05-28,United States,49.98
