tDate,Country,VaccinatedRate
2022-07-30,Australia,86.84
2022-07-30,Belgium,79.54
2022-07-30,Chile,93.86
2022-07-30,China,0.00
2022-07-30,Czechia,64.98
2022-07-30,Denmark,82.98
2022-07-30,Estonia,65.23
2022-07-30,Finland,0.00
2022-07-30,France,83.33
2022-07-30,Germany,77.15
2022-07-30,Greece,76.40
2022-07-30,Hungary,0.00
2022-07-30,Ireland,82.14
2022-07-30,Israel,0.00
2022-07-30,Italy,84.18
2022-07-30,Japan,82.44
2022-07-30,Lithuania,0.00
2022-07-30,Luxembourg,75.85
2022-07-30,New Zealand,88.37
2022-07-30,Norway,79.47
2022-07-30,Poland,60.19
2022-07-30,Slovakia,0.00
2022-07-30,South Korea,87.01
2022-07-30,Switzerland,69.89
2022-07-30,Taiwan,0.00
2022-07-30,Turkey,68.07
2022-07-30,United States,78.56
