Date,Country,VaccinatedRate
2021-07-20,Australia,28.65
2021-07-20,Austria,57.33
2021-07-20,Belgium,67.31
2021-07-20,Canada,69.82
2021-07-20,Chile,70.89
2021-07-20,China,0.00
2021-07-20,Colombia,29.93
2021-07-20,Costa Rica,0.00
2021-07-20,Czechia,50.79
2021-07-20,Denmark,68.59
2021-07-20,Estonia,45.71
2021-07-20,Finland,64.54
2021-07-20,France,58.65
2021-07-20,Germany,59.86
2021-07-20,Greece,53.01
2021-07-20,Hungary,57.90
2021-07-20,Iceland,0.00
2021-07-20,Ireland,0.00
2021-07-20,Israel,65.42
2021-07-20,Italy,60.98
2021-07-20,Japan,37.08
2021-07-20,Latvia,39.37
2021-07-20,Lithuania,48.96
2021-07-20,Luxembourg,0.00
2021-07-20,Mexico,29.97
2021-07-20,Netherlands,0.00
2021-07-20,New Zealand,19.04
2021-07-20,Norway,59.56
2021-07-20,Poland,47.21
2021-07-20,Portugal,65.16
2021-07-20,Slovakia,40.71
2021-07-20,Slovenia,42.33
2021-07-20,South Korea,31.74
2021-07-20,Spain,64.08
2021-07-20,Sweden,0.00
2021-07-20,Switzerland,52.38
2021-07-20,Taiwan,23.14
2021-07-20,Turkey,45.92
2021-07-20,United Kingdom,68.01
2021-07-20,United States,56.01
