Date,Country,VaccinatedRate
2021-04-29,Australia,0.00
2021-04-29,Austria,25.14
2021-04-29,Belgium,26.05
2021-04-29,Canada,31.65
2021-04-29,Chile,42.25
2021-04-29,China,0.00
2021-04-29,Colombia,6.39
2021-04-29,Costa Rica,0.00
2021-04-29,Czechia,19.80
2021-04-29,Denmark,22.75
2021-04-29,Estonia,24.99
2021-04-29,Finland,0.00
2021-04-29,France,23.74
2021-04-29,Germany,26.79
2021-04-29,Greece,20.56
2021-04-29,Hungary,40.62
2021-04-29,Iceland,28.54
2021-04-29,Ireland,0.00
2021-04-29,Israel,61.43
2021-04-29,Italy,23.07
2021-04-29,Japan,2.40
2021-04-29,Latvia,15.59
2021-04-29,Lithuania,25.20
2021-04-29,Luxembourg,22.13
2021-04-29,Mexico,9.48
2021-04-29,Netherlands,0.00
2021-04-29,New Zealand,3.98
2021-04-29,Norway,25.18
2021-04-29,Poland,22.75
2021-04-29,Portugal,23.38
2021-04-29,Slovakia,19.50
2021-04-29,Slovenia,20.32
2021-04-29,South Korea,5.95
2021-04-29,Spain,25.16
2021-04-29,Sweden,0.00
2021-04-29,Switzerland,20.04
2021-04-29,Taiwan,0.23
2021-04-29,Turkey,16.05
2021-04-29,United Kingdom,50.17
2021-04-29,United States,43.19
