tDate,Country,VaccinatedRate
2021-11-17,Australia,76.33
2021-11-17,Austria,68.29
2021-11-17,Belgium,75.58
2021-11-17,Canada,79.08
2021-11-17,Chile,87.23
2021-11-17,China,0.00
2021-11-17,Colombia,66.43
2021-11-17,Czechia,60.22
2021-11-17,Denmark,77.96
2021-11-17,Estonia,61.80
2021-11-17,Finland,76.77
2021-11-17,France,78.92
2021-11-17,Germany,69.67
2021-11-17,Greece,66.06
2021-11-17,Hungary,62.41
2021-11-17,Iceland,0.00
2021-11-17,Ireland,77.08
2021-11-17,Israel,71.25
2021-11-17,Italy,77.71
2021-11-17,Japan,78.86
2021-11-17,Latvia,66.90
2021-11-17,Lithuania,68.62
2021-11-17,Luxembourg,69.75
2021-11-17,Mexico,57.96
2021-11-17,Netherlands,0.00
2021-11-17,New Zealand,0.00
2021-11-17,Norway,77.32
2021-11-17,Poland,54.33
2021-11-17,Slovakia,46.94
2021-11-17,Slovenia,58.46
2021-11-17,South Korea,81.27
2021-11-17,Spain,81.71
2021-11-17,Sweden,71.70
2021-11-17,Switzerland,66.59
2021-11-17,Taiwan,75.29
2021-11-17,Turkey,65.78
2021-11-17,United Kingdom,74.30
2021-11-17,United States,68.97
