Date,Country,VaccinatedRate
2021-03-15,Australia,0.00
2021-03-15,Austria,9.46
2021-03-15,Belgium,7.25
2021-03-15,Canada,6.70
2021-03-15,Chile,25.92
2021-03-15,China,0.00
2021-03-15,Colombia,1.70
2021-03-15,Costa Rica,3.70
2021-03-15,Czechia,7.77
2021-03-15,Denmark,9.97
2021-03-15,Estonia,10.69
2021-03-15,Finland,10.77
2021-03-15,France,8.42
2021-03-15,Germany,8.17
2021-03-15,Greece,8.46
2021-03-15,Hungary,13.98
2021-03-15,Iceland,9.95
2021-03-15,Ireland,9.13
2021-03-15,Israel,58.07
2021-03-15,Italy,8.21
2021-03-15,Japan,0.22
2021-03-15,Latvia,5.34
2021-03-15,Lithuania,9.77
2021-03-15,Luxembourg,7.05
2021-03-15,Mexico,2.91
2021-03-15,Netherlands,0.00
2021-03-15,New Zealand,0.51
2021-03-15,Norway,8.39
2021-03-15,Poland,7.80
2021-03-15,Portugal,8.61
2021-03-15,Slovakia,8.25
2021-03-15,Slovenia,8.63
2021-03-15,South Korea,1.17
2021-03-15,Spain,8.45
2021-03-15,Sweden,0.00
2021-03-15,Switzerland,7.93
2021-03-15,Turkey,9.30
2021-03-15,United Kingdom,36.42
2021-03-15,United States,21.34
