tDate,Country,VaccinatedRate
2021-05-11,Australia,0.00
2021-05-11,Austria,31.02
2021-05-11,Belgium,32.40
2021-05-11,Canada,40.12
2021-05-11,Chile,45.82
2021-05-11,China,0.00
2021-05-11,Colombia,8.08
2021-05-11,Costa Rica,0.00
2021-05-11,Czechia,26.01
2021-05-11,Denmark,26.75
2021-05-11,Estonia,28.60
2021-05-11,Finland,36.31
2021-05-11,France,28.86
2021-05-11,Germany,34.13
2021-05-11,Greece,24.70
2021-05-11,Hungary,0.00
2021-05-11,Iceland,41.01
2021-05-11,Ireland,28.27
2021-05-11,Israel,61.75
2021-05-11,Italy,29.20
2021-05-11,Japan,3.56
2021-05-11,Latvia,20.51
2021-05-11,Lithuania,30.34
2021-05-11,Luxembourg,28.87
2021-05-11,Mexico,11.03
2021-05-11,Netherlands,0.00
2021-05-11,New Zealand,5.60
2021-05-11,Norway,28.01
2021-05-11,Poland,28.07
2021-05-11,Portugal,29.82
2021-05-11,Slovakia,23.86
2021-05-11,Slovenia,24.04
2021-05-11,South Korea,7.16
2021-05-11,Spain,30.63
2021-05-11,Sweden,0.00
2021-05-11,Switzerland,25.92
2021-05-11,Taiwan,0.47
2021-05-11,Turkey,17.24
2021-05-11,United Kingdom,52.37
2021-05-11,United States,46.09
