tDate,Country,VaccinatedRate
2022-08-22,Australia,86.93
2022-08-22,Austria,76.11
2022-08-22,Canada,0.00
2022-08-22,China,0.00
2022-08-22,Czechia,65.00
2022-08-22,Denmark,82.93
2022-08-22,Estonia,65.32
2022-08-22,France,83.36
2022-08-22,Germany,77.18
2022-08-22,Greece,76.42
2022-08-22,Hungary,0.00
2022-08-22,Israel,76.41
2022-08-22,Italy,84.19
2022-08-22,Japan,82.54
2022-08-22,Lithuania,72.65
2022-08-22,New Zealand,88.39
2022-08-22,Norway,79.48
2022-08-22,Poland,60.23
2022-08-22,South Korea,87.03
2022-08-22,Switzerland,69.91
2022-08-22,Taiwan,89.81
2022-08-22,Turkey,68.09
