Date,Country,VaccinatedRate
2021-01-21,Austria,2.14
2021-01-21,Belgium,1.79
2021-01-21,Canada,1.83
2021-01-21,Chile,0.29
2021-01-21,China,0.00
2021-01-21,Costa Rica,0.00
2021-01-21,Czechia,1.64
2021-01-21,Denmark,2.98
2021-01-21,Estonia,1.65
2021-01-21,Finland,0.00
2021-01-21,France,1.46
2021-01-21,Germany,1.76
2021-01-21,Greece,1.19
2021-01-21,Hungary,1.44
2021-01-21,Iceland,0.00
2021-01-21,Ireland,0.00
2021-01-21,Israel,28.40
2021-01-21,Italy,2.21
2021-01-21,Latvia,0.89
2021-01-21,Lithuania,2.20
2021-01-21,Luxembourg,1.09
2021-01-21,Mexico,0.41
2021-01-21,Netherlands,0.00
2021-01-21,Norway,1.41
2021-01-21,Poland,1.60
2021-01-21,Portugal,1.94
2021-01-21,Slovakia,1.70
2021-01-21,Slovenia,2.52
2021-01-21,Spain,2.26
2021-01-21,Sweden,0.00
2021-01-21,Switzerland,1.76
2021-01-21,Turkey,0.00
2021-01-21,United Kingdom,7.89
2021-01-21,United States,4.52
