tDate,T_YDTotal,T_NewInoc,T_TotalInoc,1_YDTotal,1_NewInoc,1_TotalInoc,1_Rate,1_18y_Rate,2_YDTotal,2_NewInoc,2_TotalInoc,2_Rate,2_18y_Rate
2020-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-27,0,0,0,0,18489,18489,0,0,0,0,0,0,0
2021-02-28,0,0,0,0,1217,20322,0,0,0,0,0,0,0
2021-03-01,0,0,0,0,765,21177,0,0,0,0,0,0,0
2021-03-02,0,0,0,0,1442,23086,0,0,0,0,0,0,0
2021-03-03,0,0,0,0,63644,87428,0,0,0,0,0,0,0
2021-03-04,0,0,0,0,65446,154421,0,0,0,0,0,0,0
2021-03-05,0,0,0,0,67153,225853,0,0,0,0,0,0,0
2021-03-06,0,0,0,0,67840,296380,0,0,0,0,0,0,0
2021-03-07,0,0,0,0,17131,314656,0,0,0,0,0,0,0
2021-03-08,0,0,0,0,2047,316865,0,0,0,0,0,0,0
2021-03-09,0,0,0,0,64111,383346,0,0,0,0,0,0,0
2021-03-10,0,0,0,0,60662,446941,0,0,0,0,0,0,0
2021-03-11,0,0,0,0,51100,500635,0,0,0,0,0,0,0
2021-03-12,0,0,0,0,42527,546277,0,0,0,0,0,0,0
2021-03-13,0,0,0,0,35684,583658,0,0,0,0,0,0,0
2021-03-14,0,0,0,0,3487,587884,0,0,0,0,0,0,0
2021-03-15,0,0,0,0,1074,588958,0,0,0,0,0,0,0
2021-03-16,0,0,0,0,11922,602150,0,0,0,0,0,0,0
2021-03-17,0,0,0,0,18283,621734,0,0,0,0,0,0,0
2021-03-18,0,0,0,0,18733,641331,0,0,0,0,0,0,0
2021-03-19,0,0,0,0,17501,659475,0,0,0,0,0,0,0
2021-03-20,0,0,0,0,15132,675426,0,0,0,0,0,0,0
2021-03-21,0,0,0,0,939,676587,0,0,0,313,313,0,0
2021-03-22,0,0,0,0,0,676607,0,0,0,280,593,0,0
2021-03-23,0,0,0,0,2704,680560,0,0,0,290,883,0,0
2021-03-24,0,0,0,0,20151,703612,0,0,0,615,1498,0,0
2021-03-25,0,0,0,704902,28222,733124,0,0,1498,1193,2691,0,0
2021-03-26,0,0,0,734985,32466,767451,0,0,2691,1142,3833,0,0
2021-03-27,0,0,0,769429,22845,792274,0,0,3833,1399,5232,0,0
2021-03-28,0,0,0,792802,1056,793858,0,0,5232,0,5232,0,0
2021-03-29,0,0,0,793955,11,793966,0,0,5232,0,5232,0,0
2021-03-30,0,0,0,795910,26538,822448,0,0,5232,919,6151,0,0
2021-03-31,0,0,0,823795,28407,852202,0,0,6151,2034,8185,0,0
2021-04-01,0,0,0,853930,22643,876573,0,0,8187,4786,12973,0,0
2021-04-02,0,0,0,877944,36125,914069,0,0,12974,6881,19855,0,0
2021-04-03,0,0,0,915498,38058,953556,0,0,20203,6177,26380,0,0
2021-04-04,0,0,0,953854,8229,962083,0,0,26761,537,27298,0,0
2021-04-05,0,0,0,962101,629,962730,0,0,27298,66,27364,0,0
2021-04-06,0,0,0,963900,35970,999870,0,0,27375,316,27691,0,0
2021-04-07,0,0,0,1001533,37533,1039066,0,0,27692,5722,33414,0,0
2021-04-08,0,0,0,1039714,35860,1075574,0,0,33416,9231,42647,0,0
2021-04-09,0,0,0,1077067,36599,1113666,0,0,42646,9490,52136,0,0
2021-04-10,0,0,0,1114656,33404,1148060,0,0,52144,7278,59422,0,0
2021-04-11,0,0,0,1148240,8710,1156950,0,0,59422,1088,60510,0,0
2021-04-12,0,0,0,1156950,305,1157255,0,0,60511,0,60511,0,0
2021-04-13,0,0,0,1157557,37785,1195342,0,0,60532,25,60557,0,0
2021-04-14,0,0,0,1195676,43389,1239065,0,0,60564,3,60567,0,0
2021-04-15,0,0,0,1240389,45520,1285909,0,0,60567,2,60569,0,0
2021-04-16,0,0,0,1286993,92660,1379653,0,0,60569,2,60571,0,0
2021-04-17,0,0,0,1380579,102390,1482969,0,0,60571,6,60577,0,0
2021-04-18,0,0,0,1483338,29165,1512503,0,0,60585,0,60585,0,0
2021-04-19,0,0,0,1512531,4859,1517390,0,0,60585,0,60585,0,0
2021-04-20,0,0,0,1518256,121234,1639490,0,0,60585,1,60586,0,0
2021-04-21,0,0,0,1641179,130228,1771407,0,0,60586,11,60597,0,0
2021-04-22,1833136,131253,1964389,1772539,131228,1903767,0,0,60597,25,60622,0,0
2021-04-23,1965557,149143,2114700,1904934,130615,2035549,4,0,60623,18528,79151,0.2,0
2021-04-24,2116065,178194,2294259,2036911,158581,2195492,4.3,0,79154,19613,98767,0.2,0
2021-04-25,2295064,70113,2365177,2196295,64344,2260639,4.4,0,98769,5769,104538,0.2,0
2021-04-26,2365286,6507,2371793,2260748,6140,2266888,4.4,0,104538,367,104905,0.2,0
2021-04-27,2372943,163535,2536478,2268038,141937,2409975,4.7,0,104905,21598,126503,0.2,0
2021-04-28,2537481,197570,2735051,2410975,175794,2586769,5,0,126506,21776,148282,0.3,0
2021-04-29,2736351,241164,2977515,2588065,220729,2808794,5.5,0,148286,20435,168721,0.3,0
2021-04-30,2982761,271977,3254738,2814037,241967,3056004,6,0,168724,30010,198734,0.4,0
2021-05-01,3265729,288673,3554402,3066985,259018,3326003,6.5,0,198744,29655,228399,0.4,0
2021-05-02,3584411,46881,3631292,3355935,39169,3395104,6.6,0,228476,7712,236188,0.5,0
2021-05-03,3631491,1862,3633353,3395303,1561,3396864,6.6,0,236188,301,236489,0.5,0
2021-05-04,3636482,97458,3733940,3399988,66920,3466908,6.8,0,236494,30538,267032,0.5,0
2021-05-05,3734540,93666,3828206,3467507,62507,3530014,6.9,0,267033,31159,298192,0.6,0
2021-05-06,3853266,30563,3883829,3555071,5253,3560324,6.9,0,298195,25310,323505,0.6,0
2021-05-07,3890350,115456,4005806,3566651,41965,3608616,7,0,323699,73491,397190,0.8,0
2021-05-08,4020809,115772,4136581,3623605,38982,3662587,7.1,0,397204,76790,473994,0.9,0
2021-05-09,4136744,39477,4176221,3662751,11931,3674682,7.2,0,473993,27546,501539,1,0
2021-05-10,4176266,4737,4181003,3674726,3,3674729,7.2,0,501540,4734,506274,1,0
2021-05-11,4190687,85892,4276579,3684225,8341,3692566,7.2,0,506462,77551,584013,1.1,0
2021-05-12,4276653,86817,4363470,3692628,6029,3698657,7.2,0,584025,80788,664813,1.3,0
2021-05-13,4371432,87298,4458730,3706615,4408,3711023,7.2,0,664817,82890,747707,1.5,0
2021-05-14,4460557,85126,4545683,3712844,7139,3719983,7.2,0,747713,77987,825700,1.6,0
2021-05-15,4547388,89253,4636641,3721673,9548,3731221,7.3,0,825715,79705,905420,1.8,0
2021-05-16,4638055,31098,4669153,3732527,1269,3733796,7.3,0,905528,29829,935357,1.8,0
2021-05-17,4669160,4991,4674151,3733801,5,3733806,7.3,0,935359,4986,940345,1.8,0
2021-05-18,4674622,110954,4785576,3733928,12006,3745934,7.3,0,940694,98948,1039642,2,0
2021-05-19,4787839,151500,4939339,3747236,11822,3759058,7.3,0,1040603,139678,1180281,2.3,0
2021-05-20,4939673,94477,5034150,3759157,1783,3760940,7.3,0,1180516,92694,1273210,2.5,0
2021-05-21,5036463,218978,5255441,3761416,11183,3772599,7.3,0,1275047,207795,1482842,2.9,0
2021-05-22,5259418,235680,5495098,3773806,13764,3787570,7.4,0,1485612,221916,1707528,3.3,0
2021-05-23,5496581,39516,5536097,3787727,4933,3792660,7.4,0,1708854,34583,1743437,3.4,0
2021-05-24,5536316,2926,5539242,3792689,217,3792906,7.4,0,1743627,2709,1746336,3.4,0
2021-05-25,5542284,173169,5715453,3793492,71292,3864784,7.5,0,1748792,101877,1850669,3.6,0
2021-05-26,5718922,169070,5887992,3865303,77472,3942775,7.7,0,1853619,91598,1945217,3.8,0
2021-05-27,5890562,153101,6043663,3943579,87165,4030744,7.8,0,1946983,65936,2012919,3.9,0
2021-05-28,6046203,711194,6757397,4031328,657192,4688520,9.1,0,2014875,54002,2068877,4,0
2021-05-29,6761580,606103,7367683,4691736,542227,5233963,10.2,0,2069844,63876,2133720,4.2,0
2021-05-30,7370319,171989,7542308,5235558,163457,5399015,10.5,0,2134761,8532,2143293,4.2,0
2021-05-31,7542442,4797,7547239,5399144,4710,5403854,10.5,0,2143298,87,2143385,4.2,0
2021-06-01,7550240,412599,7962839,5405968,385535,5791503,11.3,0,2144272,27064,2171336,4.2,0
2021-06-02,7965200,591322,8556522,5793135,565377,6358512,12.4,0,2172065,25945,2198010,4.3,0
2021-06-03,8558941,403780,8962721,6360442,381551,6741993,13.1,0,2198499,22229,2220728,4.3,0
2021-06-04,8965220,368080,9333300,6743716,342576,7086292,13.8,0,2221504,25504,2247008,4.4,0
2021-06-05,9335518,397345,9732863,7087965,367761,7455726,14.5,0,2247553,29584,2277137,4.4,0
2021-06-06,9733668,141000,9874668,7456423,138649,7595072,14.8,0,2277245,2351,2279596,4.4,0
2021-06-07,9875511,2958,9878469,7595829,2958,7598787,14.8,0,2279682,0,2279682,4.4,0
2021-06-08,9880154,875498,10755652,7600157,855642,8455799,16.5,0,2279997,19856,2299853,4.5,0
2021-06-09,10788471,739134,11527605,8487962,714384,9202346,17.9,0,2300509,24750,2325259,4.5,0
2021-06-10,11558033,585615,12143648,9232076,562087,9794163,19.1,0,2325957,23528,2349485,4.6,0
2021-06-11,0,0,0,9832337,733067,10565404,20.6,0,2350687,285448,2636135,5.1,0
2021-06-12,0,0,0,10594421,792835,11387256,22.2,0,2638114,235748,2873862,5.6,0
2021-06-13,0,0,0,11416064,386223,11802287,23,0,2874527,117602,2992129,5.8,0
2021-06-14,0,0,0,11802900,27481,11830381,23,0,2992255,11774,3004029,5.9,0
2021-06-15,0,0,0,11833534,731735,12565269,24.5,0,3006290,256443,3262733,6.4,0
2021-06-16,0,0,0,12602026,617181,13219207,25.7,0,3265037,207339,3472376,6.8,0
2021-06-17,0,0,0,13250593,540248,13790841,26.9,0,3474112,280928,3755040,7.3,0
2021-06-18,0,0,0,13820058,412987,14233045,27.7,0,3757067,127643,3884710,7.6,0
2021-06-19,0,0,0,14261046,507319,14768365,28.8,0,3886535,126036,4012571,7.8,0
2021-06-20,0,0,0,14800465,211990,15012455,29.2,0,4013089,33522,4046611,7.9,0
2021-06-21,0,0,0,15014314,505,15014819,29.2,0,4046808,1038,4047846,7.9,0
2021-06-22,0,0,0,15019767,20231,15039998,29.3,0,4051080,116453,4167533,8.1,0
2021-06-23,0,0,0,15068519,30346,15098865,29.4,0,4168857,123415,4292272,8.4,0
2021-06-24,0,0,0,15121636,28485,15150121,29.5,0,4294377,119117,4413494,8.6,0
2021-06-25,0,0,0,15168599,31320,15199919,29.6,0,4414987,106798,4521785,8.8,0
2021-06-26,0,0,0,15216892,46333,15263225,29.7,0,4522789,96129,4618918,9,0
2021-06-27,0,0,0,15279057,11159,15290216,29.8,0,4620427,22784,4643211,9,0
2021-06-28,0,0,0,15290296,6,15290302,29.8,0,4643211,740,4643951,9,0
2021-06-29,0,0,0,15291417,12703,15304120,29.8,0,4645673,112722,4758395,9.3,0
2021-06-30,0,0,0,15305170,16084,15321254,29.8,0,4789232,116230,4905462,9.6,0
2021-07-01,0,0,0,15322128,14233,15336361,29.9,0,4933545,107695,5041240,9.8,0
2021-07-02,0,0,0,15336784,4043,15340827,29.9,0,5069914,86635,5156549,10,0
2021-07-03,0,0,0,15341363,3930,15345293,29.9,0,5188067,83700,5271767,10.3,0
2021-07-04,0,0,0,15346047,1150,15347197,29.9,0,5303295,16659,5319954,10.4,0
2021-07-05,0,0,0,15347214,0,15347214,29.9,0,5320977,625,5321602,10.4,0
2021-07-06,0,0,0,15347603,53758,15401361,30,0,5326181,42046,5368227,10.5,0
2021-07-07,0,0,0,15402244,37666,15439910,30.1,0,5400522,62770,5463292,10.6,0
2021-07-08,0,0,0,15440955,35064,15476019,30.1,0,5491814,61306,5553120,10.8,0
2021-07-09,0,0,0,15476802,37215,15514017,30.2,0,5579843,74992,5654835,11,0
2021-07-10,0,0,0,15515470,57846,15573316,30.3,0,5684510,117487,5801997,11.3,0
2021-07-11,0,0,0,15573684,12758,15586442,30.4,0,5832464,39095,5871559,11.4,0
2021-07-12,0,0,0,15586467,470,15586937,30.4,0,5872306,1103,5873409,11.4,0
2021-07-13,0,0,0,15587120,31182,15618302,30.4,0,5874416,65958,5940374,11.6,0
2021-07-14,0,0,0,15618505,105958,15724463,30.6,0,5969183,89167,6058350,11.8,0
2021-07-15,0,0,0,15725361,111631,15836992,30.8,0,6081732,102000,6183732,12,0
2021-07-16,0,0,0,15837964,122645,15960609,31.1,0,6204664,122041,6326705,12.3,0
2021-07-17,0,0,0,15961710,134302,16096012,31.3,0,6348774,158333,6507107,12.7,0
2021-07-18,0,0,0,16096294,34384,16130678,31.4,0,6527332,36553,6563885,12.8,0
2021-07-19,0,0,0,16130726,2358,16133084,31.4,0,6565026,446,6565472,12.8,0
2021-07-20,0,0,0,16133418,158538,16291956,31.7,0,6567201,46093,6613294,12.9,0
2021-07-21,0,0,0,16292908,149984,16442892,32,0,6639744,45095,6684839,13,0
2021-07-22,0,0,0,16443830,139214,16583044,32.3,0,6699411,23593,6723004,13.1,0
2021-07-23,0,0,0,16583347,140190,16723537,32.6,0,6738087,41104,6779191,13.2,0
2021-07-24,0,0,0,16723806,140562,16864368,32.8,0,6797840,49716,6847556,13.3,0
2021-07-25,0,0,0,16864512,27041,16891553,32.9,0,6847646,10942,6858588,13.4,0
2021-07-26,0,0,0,16891632,1492,16893124,32.9,0,6858599,57,6858656,13.4,0
2021-07-27,0,0,0,16899171,617251,17516422,34.1,0,6859173,58218,6917391,13.5,0
2021-07-28,0,0,0,17522182,380756,17902938,34.9,0,6928090,44580,6972670,13.6,0
2021-07-29,0,0,0,17904284,477853,18382137,35.8,0,6978568,40086,7018654,13.7,0
2021-07-30,0,0,0,18383467,346234,18729701,36.5,0,7022439,39069,7061508,13.8,0
2021-07-31,0,0,0,18732968,495353,19228321,37.4,0,7072638,58566,7131204,13.9,0
2021-08-01,0,0,0,19229837,214283,19444120,37.9,0,7132582,13340,7145922,13.9,0
2021-08-02,0,0,0,19444484,27892,19472376,37.9,0,7145929,480,7146409,13.9,0
2021-08-03,0,0,0,19473657,473850,19947507,38.8,0,7146602,35955,7182557,14,0
2021-08-04,0,0,0,19950651,218941,20169592,39.3,0,7183130,106529,7289659,14.2,0
2021-08-05,0,0,0,20171328,164924,20336252,39.6,0,7290594,109665,7400259,14.4,0
2021-08-06,0,0,0,20338088,191478,20529566,40,0,7400600,126304,7526904,14.7,0
2021-08-07,0,0,0,20531820,254372,20786192,40.5,0,7527413,155251,7682664,15,0
2021-08-08,0,0,0,20787841,120403,20908244,40.7,0,7683043,35760,7718803,15,0
2021-08-09,0,0,0,20908482,27507,20935989,40.8,0,7718812,2234,7721046,15,0
2021-08-10,0,0,0,20937426,433768,21371194,41.6,0,7721217,173134,7894351,15.4,0
2021-08-11,0,0,0,21373726,261380,21635106,42.1,0,7894715,168265,8062980,15.7,0
2021-08-12,0,0,0,21637408,175763,21813171,42.5,0,8063800,162616,8226416,16,0
2021-08-13,0,0,0,21815395,166325,21981720,42.8,0,8227001,705064,8932065,17.4,0
2021-08-14,0,0,0,21984870,241514,22226384,43.3,0,8933507,619155,9552662,18.6,0
2021-08-15,0,0,0,22227969,140972,22368941,43.6,0,9553668,182004,9735672,19,0
2021-08-16,0,0,0,22369252,17721,22386973,43.6,0,9735696,5559,9741255,19,0
2021-08-17,0,0,0,22388519,661839,23050358,44.9,0,9741561,255278,9996839,19.5,0
2021-08-18,0,0,0,23061628,718883,23780511,46.3,0,9998194,493672,10491866,20.4,0
2021-08-19,0,0,0,23787137,518990,24306127,47.3,0,10493895,318432,10812327,21.1,0
2021-08-20,0,0,0,24311354,501043,24812397,48.3,0,10813795,292232,11106027,21.6,0
2021-08-21,0,0,0,24816715,685275,25501990,49.7,0,11107393,331700,11439093,22.3,0
2021-08-22,0,0,0,25507460,359510,25866970,50.4,0,11439724,122794,11562518,22.5,0
2021-08-23,0,0,0,25871413,39272,25910685,50.5,0,11562880,2241,11565121,22.5,0
2021-08-24,0,0,0,25918514,381675,26300189,51.2,0,11568954,714780,12283734,23.9,0
2021-08-25,0,0,0,26304537,397167,26701704,52,0,12285768,598454,12884222,25.1,0
2021-08-26,0,0,0,26706143,370493,27076636,52.7,0,12885784,472455,13358239,26,0
2021-08-27,0,0,0,27081089,646550,27727639,54,0,13360105,420821,13780926,26.8,0
2021-08-28,0,0,0,27746442,598603,28345045,55.2,0,13797724,549112,14346836,27.9,0
2021-08-29,0,0,0,28349072,273234,28622306,55.7,0,14347973,254978,14602951,28.4,0
2021-08-30,0,0,0,28624959,16120,28641079,55.8,0,14603229,15842,14619071,28.5,0
2021-08-31,0,0,0,28642467,388675,29031142,56.5,65.7,14620085,598553,15218638,29.6,34.4
