0
"tensor([[0.1670, 0.1677, 0.1684,  ..., 0.5352, 0.5359, 0.5366],
        [0.1670, 0.1677, 0.1684,  ..., 0.5352, 0.5359, 0.5366],
        [0.1670, 0.1677, 0.1684,  ..., 0.5352, 0.5359, 0.5366],
        ...,
        [0.1670, 0.1677, 0.1684,  ..., 0.5352, 0.5359, 0.5366],
        [0.1670, 0.1677, 0.1684,  ..., 0.5352, 0.5359, 0.5366],
        [0.1670, 0.1677, 0.1684,  ..., 0.5352, 0.5359, 0.5366]])"
"tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 1., 0., 0.]])"
"tensor([[0.6446, 0.6446, 0.6446,  ..., 0.3573, 0.3573, 0.3573],
        [0.2971, 0.2971, 0.2971,  ..., 0.5191, 0.5191, 0.5191],
        [0.4453, 0.4453, 0.4453,  ..., 0.4175, 0.3805, 0.3805],
        ...,
        [0.4169, 0.4169, 0.4169,  ..., 0.5929, 0.5929, 0.5929],
        [0.5431, 0.5431, 0.5431,  ..., 0.2095, 0.2095, 0.2095],
        [0.5039, 0.5027, 0.5022,  ..., 0.1144, 0.0172, 0.0172]])"
"tensor([[0.0000, 0.0000, 0.0000,  ..., 0.7959, 0.7962, 0.7965],
        [0.0000, 0.0000, 0.0000,  ..., 0.7526, 0.7526, 0.7526],
        [0.0000, 0.0000, 0.0000,  ..., 0.7854, 0.7856, 0.7865],
        ...,
        [0.0000, 0.0000, 0.0000,  ..., 0.6252, 0.6254, 0.6256],
        [0.0000, 0.0000, 0.0000,  ..., 0.7204, 0.7206, 0.7209],
        [0.0000, 0.0000, 0.0000,  ..., 0.6532, 0.6534, 0.6536]])"
"tensor([[0.2432, 0.2973, 0.3514,  ..., 0.5586, 0.5127, 0.5557],
        [0.3784, 0.5135, 0.5405,  ..., 0.2119, 0.1738, 0.2246],
        [0.4054, 0.4595, 0.5135,  ..., 0.1805, 0.2003, 0.2051],
        ...,
        [0.8378, 0.8919, 0.8649,  ..., 0.2092, 0.1881, 0.2359],
        [0.4865, 0.5135, 0.5135,  ..., 0.2103, 0.2451, 0.1930],
        [0.5946, 0.7297, 0.8108,  ..., 0.1976, 0.3470, 0.5043]])"
"tensor([[0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        ...,
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.],
        [0., 0., 0.,  ..., 0., 0., 0.]])"
