tDate,Country,Province1,Province2,Confirmed,Deaths,AccConfirmed,AccDeaths
2020-02-28,Canada,Montreal QC,,9,0,10,0
2020-02-28,China,Anhui,,1,0,990,6
2020-02-28,China,Beijing,,0,2,410,7
2020-02-28,China,Chongqing,,0,0,576,6
2020-02-28,China,Fujian,,0,0,296,1
2020-02-28,China,Gansu,,0,0,91,2
2020-02-28,China,Guangdong,,1,0,1348,7
2020-02-28,China,Guangxi,,0,0,252,2
2020-02-28,China,Hainan,,0,0,168,5
2020-02-28,China,Hebei,,1,0,318,6
2020-02-28,China,Heilongjiang,,0,0,480,13
2020-02-28,China,Henan,,0,0,1272,20
2020-02-28,China,Hubei,,318,41,65914,2682
2020-02-28,China,Hunan,,0,0,1017,4
2020-02-28,China,Inner Mongolia,,0,0,75,0
2020-02-28,China,Jiangsu,,0,0,631,0
2020-02-28,China,Jiangxi,,1,0,935,1
2020-02-28,China,Jilin,,0,0,93,1
2020-02-28,China,Shaanxi,,0,0,245,1
2020-02-28,China,Shandong,,0,0,756,6
2020-02-28,China,Shanghai,,0,0,337,3
2020-02-28,China,Shanxi,,0,0,133,0
2020-02-28,China,Sichuan,,4,0,538,3
2020-02-28,China,Unknown,,0,0,0,0
2020-02-28,China,Xinjiang,,0,1,76,3
2020-02-28,China,Yunnan,,0,0,174,2
2020-02-28,China,Zhejiang,,0,0,1205,1
2020-02-28,France,,,19,0,57,2
2020-02-28,Germany,,,2,0,48,0
2020-02-28,Greece,,,1,0,4,0
2020-02-28,Iceland,,,0,0,1,0
2020-02-28,Israel,,,3,0,6,0
2020-02-28,Italy,,,233,4,888,21
2020-02-28,Japan,,,14,0,228,4
2020-02-28,Lithuania,,,0,0,1,0
2020-02-28,Mexico,,,0,0,1,0
2020-02-28,Netherlands,,,0,0,1,0
2020-02-28,New Zealand,,,0,0,1,0
2020-02-28,New Zealand,Cook Islands,,0,0,0,0
2020-02-28,Norway,,,5,0,6,0
2020-02-28,South Korea,,,571,0,2337,13
2020-02-28,Spain,,,17,0,32,0
2020-02-28,Taiwan,Taiwan,,2,0,34,1
2020-02-28,United States,Boston MA,,0,0,1,0
2020-02-28,United States,Unassigned Location (From Diamond Princess),,2,0,44,0
