tDate,Country,Province,Confirmed,Deaths,AccConfirmed,AccDeaths
2020-03-24,Australia,Australian Capital Territory,7,0,39,0
2020-03-24,Australia,New South Wales,149,1,818,7
2020-03-24,Australia,Northern Territory,1,0,6,0
2020-03-24,Australia,Queensland,78,0,397,0
2020-03-24,Australia,South Australia,36,0,170,0
2020-03-24,Australia,Tasmania,0,0,28,0
2020-03-24,Australia,Victoria,56,0,411,0
2020-03-24,Australia,Western Australia,35,0,175,1
2020-03-24,Austria,,809,7,5283,28
2020-03-24,Belgium,,526,34,4269,122
2020-03-24,Canada,Alberta,58,0,359,1
2020-03-24,Canada,British Columbia,145,0,617,13
2020-03-24,Canada,Diamond Princess,0,0,0,1
2020-03-24,Canada,Grand Princess,0,0,13,0
2020-03-24,Canada,Manitoba,1,0,21,0
2020-03-24,Canada,New Brunswick,1,0,18,0
2020-03-24,Canada,Newfoundland and Labrador,11,0,35,0
2020-03-24,Canada,Nova Scotia,10,0,51,0
2020-03-24,Canada,Nunavut,0,0,0,0
2020-03-24,Canada,Ontario,85,1,588,7
2020-03-24,Canada,Prince Edward Island,0,0,3,0
2020-03-24,Canada,Quebec,268,3,1408,11
2020-03-24,Canada,Recovered,0,0,0,0
2020-03-24,Canada,Saskatchewan,6,0,72,0
2020-03-24,Chile,,176,0,922,2
2020-03-24,China,Beijing,21,0,558,8
2020-03-24,China,Fujian,5,0,318,1
2020-03-24,China,Gansu,0,0,136,2
2020-03-24,China,Guangdong,13,0,1428,8
2020-03-24,China,Hainan,0,0,168,6
2020-03-24,China,Heilongjiang,0,0,484,13
2020-03-24,China,Hong Kong,30,0,386,4
2020-03-24,China,Hubei,1,7,67801,3160
2020-03-24,China,Jiangsu,3,0,636,0
2020-03-24,China,Macau,1,0,25,0
2020-03-24,China,Shaanxi,1,0,249,3
2020-03-24,China,Shanghai,10,0,414,4
2020-03-24,China,Sichuan,2,0,545,3
2020-03-24,China,Tianjin,4,0,145,3
2020-03-24,China,Unknown,0,0,0,0
2020-03-24,China,Zhejiang,2,0,1240,1
2020-03-24,Colombia,,101,0,378,3
2020-03-24,Costa Rica,,19,0,177,2
2020-03-24,Czechia,,158,2,1394,3
2020-03-24,Denmark,,141,8,1591,32
2020-03-24,Denmark,Faroe Islands,4,0,122,0
2020-03-24,Denmark,Greenland,1,0,5,0
2020-03-24,Estonia,,17,0,369,0
2020-03-24,Finland,,92,0,792,1
2020-03-24,France,,5521,426,22054,1100
2020-03-24,France,French Guiana,3,0,23,0
2020-03-24,France,French Polynesia,-19849,-860,25,0
2020-03-24,France,Guadeloupe,0,0,62,1
2020-03-24,France,Martinique,4,0,57,1
2020-03-24,France,Mayotte,12,0,36,0
2020-03-24,France,New Caledonia,2,0,10,0
2020-03-24,France,Reunion,23,0,94,0
2020-03-24,France,Saint Barthelemy,0,0,3,0
2020-03-24,France,St Martin,0,0,8,0
2020-03-24,Germany,,3930,34,32986,157
2020-03-24,Greece,,48,3,743,20
2020-03-24,Hungary,,20,2,187,9
2020-03-24,Iceland,,60,1,648,2
2020-03-24,Ireland,,204,1,1329,7
2020-03-24,Israel,,423,3,2043,4
2020-03-24,Italy,,5249,743,69176,6820
2020-03-24,Japan,,65,1,1193,43
2020-03-24,Latvia,,17,0,197,0
2020-03-24,Lithuania,,38,1,166,1
2020-03-24,Luxembourg,,224,0,1099,8
2020-03-24,Mexico,,51,1,367,4
2020-03-24,Netherlands,,811,63,5560,276
2020-03-24,Netherlands,Aruba,3,0,12,0
2020-03-24,Netherlands,Curacao,2,0,6,1
2020-03-24,Netherlands,Sint Maarten,0,0,2,0
2020-03-24,New Zealand,,53,0,155,0
2020-03-24,New Zealand,Cook Islands,0,0,0,0
2020-03-24,Norway,,242,2,2863,12
2020-03-24,Poland,,152,2,901,10
2020-03-24,Portugal,,302,10,2362,33
2020-03-24,Slovakia,,18,0,204,0
2020-03-24,Slovenia,,38,1,480,4
2020-03-24,South Korea,,76,9,9037,120
2020-03-24,Spain,,4749,497,39885,2808
2020-03-24,Sweden,,240,11,2286,36
2020-03-24,Switzerland,,1082,2,9877,122
2020-03-24,Taiwan,,20,0,215,2
2020-03-24,Turkey,,343,7,1872,44
2020-03-24,United Kingdom,,1427,87,8077,422
2020-03-24,United Kingdom,Bermuda,0,0,6,0
2020-03-24,United Kingdom,Cayman Islands,1,0,6,1
2020-03-24,United Kingdom,Channel Islands,0,0,36,0
2020-03-24,United Kingdom,Gibraltar,0,0,15,0
2020-03-24,United Kingdom,Isle of Man,10,0,23,0
2020-03-24,United Kingdom,Montserrat,0,0,1,0
2020-03-24,United Kingdom,Saint Helena_ Ascension and Tristan da Cunha,0,0,0,0
2020-03-24,United States,Alabama,1,0,1,0
2020-03-24,United States,Alabama,2,0,5,0
