tDate,Country,Province1,Province2,Confirmed,Deaths,AccConfirmed,AccDeaths
2020-01-30,Australia,New South Wales,,0,0,4,0
2020-01-30,Australia,Queensland,,0,0,3,0
2020-01-30,Australia,Victoria,,1,0,2,0
2020-01-30,Canada,British Columbia,,0,0,1,0
2020-01-30,Canada,Ontario,,1,0,2,0
2020-01-30,China,Anhui,,48,0,200,0
2020-01-30,China,Beijing,,3,0,114,1
2020-01-30,China,Chongqing,,35,0,182,0
2020-01-30,China,Fujian,,17,0,101,0
2020-01-30,China,Gansu,,2,0,26,0
2020-01-30,China,Guangdong,,77,0,354,0
2020-01-30,China,Guangxi,,20,0,78,0
2020-01-30,China,Guizhou,,3,0,12,0
2020-01-30,China,Hainan,,3,0,46,1
2020-01-30,China,Hebei,,17,0,65,1
2020-01-30,China,Heilongjiang,,6,1,44,2
2020-01-30,China,Henan,,72,0,278,2
2020-01-30,China,Hubei,,1349,37,4903,162
2020-01-30,China,Hunan,,56,0,277,0
2020-01-30,China,Inner Mongolia,,3,0,19,0
2020-01-30,China,Jiangsu,,30,0,129,0
2020-01-30,China,Jiangxi,,53,0,162,0
2020-01-30,China,Jilin,,5,0,14,0
2020-01-30,China,Liaoning,,2,0,41,0
2020-01-30,China,Ningxia,,5,0,17,0
2020-01-30,China,Qinghai,,2,0,8,0
2020-01-30,China,Shaanxi,,7,0,63,0
2020-01-30,China,Shandong,,28,0,158,0
2020-01-30,China,Shanghai,,16,0,112,1
2020-01-30,China,Shanxi,,8,0,35,0
2020-01-30,China,Sichuan,,34,0,142,1
2020-01-30,China,Tianjin,,4,0,31,0
2020-01-30,China,Tibet,,0,0,1,0
2020-01-30,China,Unknown,,0,0,0,0
2020-01-30,China,Xinjiang,,1,0,14,0
2020-01-30,China,Yunnan,,15,0,70,0
2020-01-30,China,Zhejiang,,132,0,428,0
2020-01-30,Finland,,,0,0,1,0
2020-01-30,France,,,0,0,5,0
2020-01-30,Germany,Bavaria,,0,0,4,0
2020-01-30,Japan,,,4,0,11,0
2020-01-30,New Zealand,Cook Islands,,0,0,0,0
2020-01-30,South Korea,,,0,0,4,0
2020-01-30,Taiwan,Taiwan,,1,0,9,0
2020-01-30,United States,Arizona,,0,0,1,0
2020-01-30,United States,California,,0,0,2,0
2020-01-30,United States,Illinois,,0,0,1,0
2020-01-30,United States,Washington,,0,0,1,0
