tDate,Country,Province,Confirmed,Deaths,AccConfirmed,AccDeaths
2020-03-30,Australia,Australian Capital Territory,1,1,78,1
2020-03-30,Australia,New South Wales,241,0,2032,8
2020-03-30,Australia,Northern Territory,0,0,15,0
2020-03-30,Australia,Queensland,33,0,689,2
2020-03-30,Australia,South Australia,6,0,305,0
2020-03-30,Australia,Tasmania,0,0,66,0
2020-03-30,Australia,Victoria,52,0,821,4
2020-03-30,Australia,Western Australia,44,0,355,2
2020-03-30,Austria,,830,22,9618,108
2020-03-30,Belgium,,1063,82,11899,513
2020-03-30,Canada,Alberta,40,1,661,3
2020-03-30,Canada,British Columbia,86,2,970,19
2020-03-30,Canada,Diamond Princess,0,0,0,1
2020-03-30,Canada,Grand Princess,0,0,13,0
2020-03-30,Canada,Manitoba,24,0,96,1
2020-03-30,Canada,New Brunswick,2,0,68,0
2020-03-30,Canada,Newfoundland and Labrador,13,1,148,1
2020-03-30,Canada,Northwest Territories,0,0,1,0
2020-03-30,Canada,Nova Scotia,5,0,127,0
2020-03-30,Canada,Nunavut,0,0,0,0
2020-03-30,Canada,Ontario,351,10,1706,31
2020-03-30,Canada,Prince Edward Island,7,0,18,0
2020-03-30,Canada,Quebec,578,13,4153,67
2020-03-30,Canada,Recovered,0,0,0,0
2020-03-30,Canada,Saskatchewan,0,2,156,2
2020-03-30,Canada,Yukon,0,0,4,0
2020-03-30,Chile,,310,1,2449,8
2020-03-30,China,Beijing,0,0,577,8
2020-03-30,China,Fujian,2,0,340,1
2020-03-30,China,Guangdong,9,0,1484,8
2020-03-30,China,Hebei,0,0,321,6
2020-03-30,China,Hong Kong,41,0,682,4
2020-03-30,China,Hubei,0,4,67801,3186
2020-03-30,China,Inner Mongolia,12,0,107,1
2020-03-30,China,Jiangsu,1,0,645,0
2020-03-30,China,Jiangxi,0,0,937,1
2020-03-30,China,Macau,1,0,38,0
2020-03-30,China,Shandong,1,0,773,7
2020-03-30,China,Shanghai,6,0,498,5
2020-03-30,China,Sichuan,0,0,550,3
2020-03-30,China,Tianjin,8,0,174,3
2020-03-30,China,Unknown,0,0,0,0
2020-03-30,China,Zhejiang,1,0,1255,1
2020-03-30,Colombia,,96,2,798,12
2020-03-30,Costa Rica,,16,0,330,2
2020-03-30,Czechia,,184,7,3001,23
2020-03-30,Denmark,,182,5,2577,77
2020-03-30,Denmark,Faroe Islands,9,0,168,0
2020-03-30,Denmark,Greenland,0,0,10,0
2020-03-30,Estonia,,36,0,715,3
2020-03-30,Finland,,112,2,1352,13
2020-03-30,France,,4268,417,44029,3020
2020-03-30,France,French Guiana,15,0,43,0
2020-03-30,France,French Polynesia,6,0,36,0
2020-03-30,France,Guadeloupe,0,0,106,4
2020-03-30,France,Martinique,0,0,93,1
2020-03-30,France,Mayotte,19,0,82,0
2020-03-30,France,New Caledonia,0,0,15,0
2020-03-30,France,Reunion,41,0,224,0
2020-03-30,France,Saint Barthelemy,1,0,6,0
2020-03-30,France,St Martin,4,1,15,1
2020-03-30,Germany,,4790,112,66885,645
2020-03-30,Greece,,56,5,1212,43
2020-03-30,Hungary,,39,2,447,15
2020-03-30,Iceland,,66,0,1086,2
2020-03-30,Ireland,,295,8,2910,54
2020-03-30,Israel,,546,1,4979,17
2020-03-30,Italy,,4050,812,101739,11591
2020-03-30,Japan,,0,0,1866,54
2020-03-30,Latvia,,29,0,376,0
2020-03-30,Lithuania,,46,0,424,4
2020-03-30,Luxembourg,,38,1,1988,22
2020-03-30,Mexico,,145,4,993,20
2020-03-30,Netherlands,,884,93,11750,864
2020-03-30,Netherlands,Aruba,0,0,50,0
2020-03-30,Netherlands,Curacao,3,0,11,1
2020-03-30,Netherlands,Sint Maarten,0,0,6,0
2020-03-30,New Zealand,,75,0,589,1
2020-03-30,New Zealand,Cook Islands,0,0,0,0
2020-03-30,Norway,,161,7,4445,32
2020-03-30,Poland,,193,9,2055,31
2020-03-30,Portugal,,446,21,6408,140
2020-03-30,Slovakia,,22,0,336,0
2020-03-30,Slovenia,,26,0,756,11
2020-03-30,South Korea,,78,6,9661,158
2020-03-30,Spain,,7846,913,87956,7716
2020-03-30,Sweden,,328,36,4028,146
2020-03-30,Switzerland,,1093,59,15922,359
2020-03-30,Taiwan,,8,3,306,5
2020-03-30,Turkey,,1610,37,10827,168
2020-03-30,United Kingdom,,2619,180,22141,1408
2020-03-30,United Kingdom,Anguilla,0,0,2,0
2020-03-30,United Kingdom,Bermuda,5,0,27,0
2020-03-30,United Kingdom,British Virgin Islands,0,0,2,0
2020-03-30,United Kingdom,Cayman Islands,4,0,12,1
2020-03-30,United Kingdom,Channel Islands,33,0,141,2
2020-03-30,United Kingdom,Gibraltar,4,0,69,0
2020-03-30,United Kingdom,Isle of Man,7,0,49,0
2020-03-30,United Kingdom,Montserrat,0,0,5,0
2020-03-30,United Kingdom,Saint Helena_ Ascension and Tristan da Cunha,0,0,0,0
2020-03-30,United Kingdom,Turks and Caicos Islands,1,0,5,0
2020-03-30,United States,Alabama,2,0,8,0
2020-03-30,United States,Alabama,3,0,22,1
2020-03-30,United States,Alabama,0,0,0,0
2020-03-30,United States,Alabama,1,0,3,0
2020-03-30,United States,Alabama,0,0,7,0
2020-03-30,United States,Alabama,0,0,2,0
2020-03-30,United States,Alabama,0,0,1,0
2020-03-30,United States,Alabama,5,0,9,0
2020-03-30,United States,Alabama,10,0,39,3
2020-03-30,United States,Alabama,0,0,1,0
2020-03-30,United States,Alabama,2,0,10,0
2020-03-30,United States,Alabama,1,0,2,0
2020-03-30,United States,Alabama,0,0,0,0
2020-03-30,United States,Alabama,0,0,2,0
2020-03-30,United States,Alabama,0,0,5,0
2020-03-30,United States,Alabama,0,0,0,0
2020-03-30,United States,Alabama,2,0,4,0
2020-03-30,United States,Alabama,0,0,0,0
2020-03-30,United States,Alabama,0,0,3,0
2020-03-30,United States,Alabama,0,0,2,0
2020-03-30,United States,Alabama,0,0,1,0
2020-03-30,United States,Alabama,1,0,8,0
2020-03-30,United States,Alabama,0,0,0,0
2020-03-30,United States,Alabama,0,0,2,0
2020-03-30,United States,Alabama,0,0,4,0
2020-03-30,United States,Alabama,0,0,12,0
2020-03-30,United States,Alabama,0,0,0,0
2020-03-30,United States,Alabama,0,0,7,0
2020-03-30,United States,Alabama,1,0,1,0
2020-03-30,United States,Alabama,0,0,5,0
2020-03-30,United States,Alabama,0,0,0,0
2020-03-30,United States,Alabama,0,0,1,0
2020-03-30,United States,Alabama,1,0,1,0
2020-03-30,United States,Alabama,0,0,0,0
2020-03-30,United States,Alabama,1,0,9,0
2020-03-30,United States,Alabama,2,0,7,1
2020-03-30,United States,Alabama,13,0,261,0
2020-03-30,United States,Alabama,0,0,1,0
2020-03-30,United States,Alabama,0,0,13,1
2020-03-30,United States,Alabama,0,0,5,0
2020-03-30,United States,Alabama,16,0,80,2
2020-03-30,United States,Alabama,3,0,17,0
2020-03-30,United States,Alabama,0,0,1,0
2020-03-30,United States,Alabama,1,0,2,0
2020-03-30,United States,Alabama,18,0,112,1
2020-03-30,United States,Alabama,0,0,3,0
2020-03-30,United States,Alabama,0,0,11,0
2020-03-30,United States,Alabama,0,0,5,0
2020-03-30,United States,Alabama,3,0,44,1
2020-03-30,United States,Alabama,0,0,2,0
2020-03-30,United States,Alabama,7,0,30,0
2020-03-30,United States,Alabama,1,0,19,0
2020-03-30,United States,Alabama,0,0,0,0
2020-03-30,United States,Alabama,1,0,4,0
2020-03-30,United States,Alabama,0,0,4,0
2020-03-30,United States,Alabama,0,0,2,0
2020-03-30,United States,Alabama,0,0,3,0
2020-03-30,United States,Alabama,13,0,97,0
2020-03-30,United States,Alabama,2,0,22,0
2020-03-30,United States,Alabama,1,0,1,0
2020-03-30,United States,Alabama,2,0,7,0
2020-03-30,United States,Alabama,4,0,11,0
2020-03-30,United States,Alabama,4,0,31,0
2020-03-30,United States,Alabama,0,0,28,0
2020-03-30,United States,Alabama,0,0,3,0
2020-03-30,United States,Alabama,0,0,2,0
2020-03-30,United States,Alabama,0,0,2,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,5,0,59,1
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,5,0,28,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,1,0,5,0
2020-03-30,United States,Alaska,0,0,7,0
2020-03-30,United States,Alaska,1,0,13,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,2,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,1,0,2
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,Alaska,0,0,0,0
2020-03-30,United States,American Samoa,0,0,0,0
2020-03-30,United States,Arizona,4,0,17,0
2020-03-30,United States,Arizona,1,0,4,0
2020-03-30,United States,Arizona,9,0,71,2
2020-03-30,United States,Arizona,0,0,1,0
2020-03-30,United States,Arizona,0,0,2,0
2020-03-30,United States,Arizona,1,0,1,0
2020-03-30,United States,Arizona,0,0,2,0
2020-03-30,United States,Arizona,145,0,690,5
2020-03-30,United States,Arizona,1,0,7,0
2020-03-30,United States,Arizona,26,0,88,0
2020-03-30,United States,Arizona,34,0,187,4
2020-03-30,United States,Arizona,13,0,64,0
2020-03-30,United States,Arizona,0,0,2,0
2020-03-30,United States,Arizona,0,3,0,9
2020-03-30,United States,Arizona,3,0,15,0
2020-03-30,United States,Arizona,1,0,6,0
2020-03-30,United States,Arkansas,1,0,1,0
2020-03-30,United States,Arkansas,0,0,1,0
2020-03-30,United States,Arkansas,0,0,1,0
2020-03-30,United States,Arkansas,4,0,35,0
2020-03-30,United States,Arkansas,0,0,1,0
2020-03-30,United States,Arkansas,0,0,4,0
2020-03-30,United States,Arkansas,0,0,0,0
2020-03-30,United States,Arkansas,0,0,0,0
2020-03-30,United States,Arkansas,0,0,1,0
2020-03-30,United States,Arkansas,4,0,21,0
2020-03-30,United States,Arkansas,0,0,0,0
2020-03-30,United States,Arkansas,6,0,56,1
2020-03-30,United States,Arkansas,0,0,5,0
2020-03-30,United States,Arkansas,0,0,1,0
2020-03-30,United States,Arkansas,0,1,1,1
2020-03-30,United States,Arkansas,0,0,6,0
2020-03-30,United States,Arkansas,0,0,1,0
2020-03-30,United States,Arkansas,0,0,17,0
2020-03-30,United States,Arkansas,0,0,1,0
2020-03-30,United States,Arkansas,0,0,0,0
2020-03-30,United States,Arkansas,0,0,2,0
2020-03-30,United States,Arkansas,0,0,1,0
2020-03-30,United States,Arkansas,0,1,30,1
2020-03-30,United States,Arkansas,0,0,0,0
2020-03-30,United States,Arkansas,0,0,0,0
2020-03-30,United States,Arkansas,1,0,26,0
2020-03-30,United States,Arkansas,0,0,3,0
2020-03-30,United States,Arkansas,0,0,1,0
2020-03-30,United States,Arkansas,1,0,1,0
2020-03-30,United States,Arkansas,0,0,1,0
2020-03-30,United States,Arkansas,0,0,1,0
2020-03-30,United States,Arkansas,0,0,3,0
2020-03-30,United States,Arkansas,0,0,0,0
2020-03-30,United States,Arkansas,0,0,0,0
2020-03-30,United States,Arkansas,1,0,26,0
2020-03-30,United States,Arkansas,0,0,1,0
2020-03-30,United States,Arkansas,0,0,0,0
2020-03-30,United States,Arkansas,0,0,1,0
2020-03-30,United States,Arkansas,0,0,0,0
2020-03-30,United States,Arkansas,0,0,6,0
2020-03-30,United States,Arkansas,0,0,0,0
2020-03-30,United States,Arkansas,0,0,0,0
2020-03-30,United States,Arkansas,0,0,1,0
2020-03-30,United States,Arkansas,0,0,0,0
2020-03-30,United States,Arkansas,0,0,0,0
2020-03-30,United States,Arkansas,0,0,0,0
2020-03-30,United States,Arkansas,0,0,0,0
2020-03-30,United States,Arkansas,0,0,0,0
2020-03-30,United States,Arkansas,0,0,0,0
