tDate,Country,Province1,Province2,Confirmed,Deaths,AccConfirmed,AccDeaths
2020-02-29,Australia,From Diamond Princess,,-8,0,0,0
2020-02-29,Australia,Queensland,,0,0,9,0
2020-02-29,Australia,South Australia,,0,0,3,0
2020-02-29,Australia,Victoria,,0,0,7,0
2020-02-29,Australia,Western Australia,,0,0,2,0
2020-02-29,Austria,,,6,0,9,0
2020-02-29,Canada,British Columbia,,1,0,8,0
2020-02-29,Canada,Toronto ON,,5,0,10,0
2020-02-29,China,Anhui,,0,0,990,6
2020-02-29,China,Beijing,,1,1,411,8
2020-02-29,China,Chongqing,,0,0,576,6
2020-02-29,China,Fujian,,0,0,296,1
2020-02-29,China,Guangdong,,1,0,1349,7
2020-02-29,China,Guangxi,,0,0,252,2
2020-02-29,China,Hainan,,0,0,168,5
2020-02-29,China,Hebei,,0,0,318,6
2020-02-29,China,Heilongjiang,,0,0,480,13
2020-02-29,China,Henan,,0,1,1272,21
2020-02-29,China,Hubei,,423,45,66337,2727
2020-02-29,China,Hunan,,1,0,1018,4
2020-02-29,China,Inner Mongolia,,0,0,75,0
2020-02-29,China,Jiangsu,,0,0,631,0
2020-02-29,China,Jiangxi,,0,0,935,1
2020-02-29,China,Jilin,,0,0,93,1
2020-02-29,China,Liaoning,,0,0,121,1
2020-02-29,China,Ningxia,,1,0,73,0
2020-02-29,China,Shaanxi,,0,0,245,1
2020-02-29,China,Shandong,,0,0,756,6
2020-02-29,China,Shanghai,,0,0,337,3
2020-02-29,China,Shanxi,,0,0,133,0
2020-02-29,China,Sichuan,,0,0,538,3
2020-02-29,China,Tianjin,,0,0,136,3
2020-02-29,China,Unknown,,0,0,0,0
2020-02-29,China,Xinjiang,,0,0,76,3
2020-02-29,China,Yunnan,,0,0,174,2
2020-02-29,China,Zhejiang,,0,0,1205,1
2020-02-29,Denmark,,,2,0,3,0
2020-02-29,Finland,,,1,0,3,0
2020-02-29,France,,,43,0,100,2
2020-02-29,Germany,,,31,0,79,0
2020-02-29,Iceland,,,0,0,1,0
2020-02-29,Ireland,,,0,0,1,0
2020-02-29,Israel,,,0,0,6,0
2020-02-29,Italy,,,240,8,1128,29
2020-02-29,Japan,,,13,1,241,5
2020-02-29,Luxembourg,,,0,0,1,0
2020-02-29,Mexico,,,3,0,4,0
2020-02-29,Netherlands,,,5,0,6,0
2020-02-29,New Zealand,Cook Islands,,0,0,0,0
2020-02-29,Norway,,,9,0,15,0
2020-02-29,South Korea,,,813,3,3150,16
2020-02-29,Spain,,,13,0,45,0
2020-02-29,Sweden,,,5,0,12,0
2020-02-29,Switzerland,,,10,0,18,0
2020-02-29,Taiwan,Taiwan,,5,0,39,1
2020-02-29,United States,Portland OR,,0,0,1,0
2020-02-29,United States,Santa Clara CA,,0,0,3,0
2020-02-29,United States,Seattle WA,,0,0,6,1
2020-02-29,United States,Snohomish County WA,,0,0,1,0
